,doc_id,language,events
63,63,sr,"[{'event_type': 'institutional_blockade', 'trigger': 'kupio', 'locations': ['Užice'], 'actors': ['Alo'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Kupovina lokalne televizije.'}]"
64,64,sr,[]
65,65,sr,[]
66,66,hr,[]
67,67,sr,[]
68,68,sr,[]
69,69,hr,[]
70,70,hr,[]
71,71,sr,[]
72,72,sr,[]
73,73,sr,[]
74,74,sr,[]
75,75,sr,[]
76,76,sr,"[{'event_type': 'protest', 'trigger': 'protest', 'locations': ['ispred Ministarstva zdravlja'], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Predstavnike Apoteke Beograd primio ministar Lončar.'}]"
77,77,sr,[]
78,78,sr,[]
79,79,sr,"[{'event_type': 'university_administration_action', 'trigger': 'ponavljanje glasanja', 'locations': [], 'actors': ['Ministarstvo prosvete'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Funkcija dekanke FPN.'}]"
80,80,sr,[]
81,81,sr,[]
82,82,sr,[]
83,83,sr,"[{'event_type': 'protest', 'trigger': 'protestni skup', 'locations': ['ispred Rektorata', 'Novi Sad'], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': None}]"
84,84,sr,[]
85,85,sr,"[{'event_type': 'arrest', 'trigger': 'uhapšen', 'locations': [], 'actors': ['muškarac'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Krađa iz crkve.'}]"
86,86,sr,[]
87,87,sr,[]
88,88,sr,[]
89,89,sr,[]
90,90,hr,[]
91,91,sr,[]
92,92,hr,[]
93,93,hr,[]
94,94,hr,[]
95,95,sr,[]
96,96,sr,[]
97,97,sr,[]
98,98,sr,"[{'event_type': 'clash_police_action', 'trigger': 'vozio', 'locations': ['Stara Pazova'], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Pijan i pod uticajem kokaina, bez vozačke dozvole.'}]"
99,99,sr,"[{'event_type': 'commemoration', 'trigger': 'položila venac', 'locations': [], 'actors': ['Delegacija DS'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Na mestu ubistva Olivera Ivanovića.'}]"
100,100,und,"[{'event_type': 'government_response_policy', 'trigger': 'pozvao', 'locations': [], 'actors': ['Vučić', 'Brnabić'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Invitation to renew election process for REM Council.'}]"
101,101,und,"[{'event_type': 'international_reaction', 'trigger': 'odgovornost', 'locations': [], 'actors': ['Beograd', 'Priština', 'međunarodna zajednica'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Responsibility mentioned regarding consequences of the Brussels Agreement.'}]"
102,102,und,"[{'event_type': 'investigation_charges_trial', 'trigger': 'Nastavljeno suđenje', 'locations': [], 'actors': ['Zoran Marjanović', 'članovi njegove porodice'], 'time_mentions': ['mart'], 'confidence': 0.9, 'notes': ""Trial continuation with family members' statements.""}]"
103,103,und,"[{'event_type': 'commemoration', 'trigger': 'pamtiće', 'locations': [], 'actors': ['Oliver Ivanović'], 'time_mentions': [], 'confidence': 0.7, 'notes': 'Remembering Oliver Ivanović as a victim of political violence.'}]"
104,104,und,"[{'event_type': 'traffic_blockade', 'trigger': 'čekaju', 'locations': [], 'actors': ['Er Srbija'], 'time_mentions': [], 'confidence': 0.7, 'notes': 'Flights delayed due to de-icing process.'}]"
105,105,und,[]
106,106,und,"[{'event_type': 'protest', 'trigger': 'incident', 'locations': ['Čačak'], 'actors': [], 'time_mentions': [], 'confidence': 0.7, 'notes': ""Incident seen as a protest against state's incompetence.""}]"
107,107,und,"[{'event_type': 'protest', 'trigger': 'protest', 'locations': ['Apoteka Beograd'], 'actors': ['zaposleni'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Employees demand wages and ministerial meeting.'}]"
108,108,und,[]
109,109,und,"[{'event_type': 'investigation_charges_trial', 'trigger': 'saslušanje', 'locations': [], 'actors': ['Kraljevčanin'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Hearing regarding police assault.'}, {'event_type': 'protest', 'trigger': 'skup podrške', 'locations': ['ispred suda'], 'actors': [], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Support gathering outside the court.'}]"
110,110,und,"[{'event_type': 'other', 'trigger': 'povučeno', 'locations': ['Sombor'], 'actors': [], 'time_mentions': [], 'confidence': 0.7, 'notes': 'Unsafe meat withdrawn from circulation.'}]"
111,111,und,"[{'event_type': 'international_reaction', 'trigger': 'svedočimo', 'locations': [], 'actors': ['NPS'], 'time_mentions': [], 'confidence': 0.7, 'notes': ""Statement on government's use of EU relations.""}]"
112,112,und,"[{'event_type': 'protest', 'trigger': 'solidarnost', 'locations': [], 'actors': ['Koalicija za slobodu medija', 'Jelena Kleut'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Solidarity with a journalist facing repression.'}]"
113,113,und,"[{'event_type': 'arrest', 'trigger': 'uhapšen', 'locations': ['Aranđelovac'], 'actors': ['vozač'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Driver arrested after hitting and fleeing from pedestrian scene.'}]"
114,114,und,"[{'event_type': 'international_reaction', 'trigger': 'dobija', 'locations': ['Srbija'], 'actors': ['Evropska komisija'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Financial support granted to Serbia by EU.'}]"
115,115,und,"[{'event_type': 'international_reaction', 'trigger': 'kupovala', 'locations': [], 'actors': ['Policija Srbije', 'EU', 'ruska firma'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Purchase of technology from a sanctioned Russian company with EU funds.'}]"
116,116,und,"[{'event_type': 'institutional_blockade', 'trigger': 'nasilje', 'locations': ['Novi Sad'], 'actors': ['Jelena Kleut'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Institutional violence against a professor.'}]"
117,117,und,"[{'event_type': 'commemoration', 'trigger': 'pomen', 'locations': ['Hram Svetog Save', 'Beograd'], 'actors': ['Oliveru Ivanoviću'], 'time_mentions': ['jutros'], 'confidence': 0.9, 'notes': 'Memorial service held for Oliver Ivanović.'}]"
118,118,und,[]
119,119,und,"[{'event_type': 'government_response_policy', 'trigger': 'vanredna situacija', 'locations': ['šest opština'], 'actors': ['Štab za vanredne situacije'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Emergency situation declared in six municipalities.'}]"
120,120,und,[]
121,121,und,"[{'event_type': 'protest', 'trigger': 'osudio', 'locations': ['Niš', 'Leskovac'], 'actors': ['Slobodni univerzitet', 'Gradimir Cvetanović'], 'time_mentions': [], 'confidence': 0.8, 'notes': ""Academic support against mayor's statements.""}]"
122,122,und,"[{'event_type': 'injury_death', 'trigger': 'hematomima', 'locations': [], 'actors': ['maloletnik', 'kosovska policija'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Teen released to home care after police beating.'}]"
123,123,und,"[{'event_type': 'traffic_blockade', 'trigger': 'otežan', 'locations': ['Mirijevski bulevar'], 'actors': [], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Traffic hindered after vehicle overturn.'}]"
124,124,und,"[{'event_type': 'government_response_policy', 'trigger': 'upozorili', 'locations': [], 'actors': ['Putevi Srbije'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Government warning about icy conditions.'}]"
125,125,und,"[{'event_type': 'international_reaction', 'trigger': 'reakcija', 'locations': ['Beograd'], 'actors': ['MMF'], 'time_mentions': [], 'confidence': 0.8, 'notes': ""IMF's reaction to public debt issues.""}]"
126,126,und,"[{'event_type': 'institutional_blockade', 'trigger': 'pozvala', 'locations': [], 'actors': ['Asocijacija sudijskih pomoćnika'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Call to withdraw proposed judicial laws.'}]"
127,127,und,"[{'event_type': 'institutional_blockade', 'trigger': 'zaustavljanje', 'locations': [], 'actors': ['SNS', 'predlog Zakona o javnim tužilaštvima'], 'time_mentions': [], 'confidence': 0.9, 'notes': ""Amendment to halt Special Prosecutor's Office.""}]"
128,128,und,[]
129,129,und,"[{'event_type': 'commemoration', 'trigger': 'atentata', 'locations': [], 'actors': ['Oliver Ivanović'], 'time_mentions': ['osam godina'], 'confidence': 0.8, 'notes': ""Eight-year commemoration of Oliver Ivanović's assassination.""}]"
130,130,und,[]
131,131,und,[]
132,132,und,"[{'event_type': 'injury_death', 'trigger': 'povređene', 'locations': ['Beograd'], 'actors': [], 'time_mentions': ['noćas'], 'confidence': 0.9, 'notes': 'Two people injured in accidents.'}]"
133,133,und,[]
134,134,und,"[{'event_type': 'investigation_charges_trial', 'trigger': 'Suđenje', 'locations': [], 'actors': ['Olivera Ivanovića'], 'time_mentions': [], 'confidence': 0.9, 'notes': ""Trial regarding Oliver Ivanović's murder.""}]"
135,135,und,[]
136,136,und,"[{'event_type': 'protest', 'trigger': 'protestovao', 'locations': ['Subotica'], 'actors': ['Deo članova DSHV-a', 'Žigmanova'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Protest for intra-party talks and elections.'}]"
137,137,und,"[{'event_type': 'resignation', 'trigger': 'ostavke', 'locations': [], 'actors': ['Grupa građana iz Raške', 'lokalni funkcioneri'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Citizens demand resignations of local officials.'}]"
138,138,und,"[{'event_type': 'university_administration_action', 'trigger': 'nastavak', 'locations': [], 'actors': ['Dekanka FPN'], 'time_mentions': [], 'confidence': 0.7, 'notes': 'Expected continuation of university repression.'}]"
139,139,und,"[{'event_type': 'international_reaction', 'trigger': 'ukida', 'locations': [], 'actors': ['Evropska komisija', 'Kosovo'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Lifting of punitive measures against Kosovo.'}]"
140,140,und,"[{'event_type': 'other', 'trigger': 'sneg', 'locations': [], 'actors': [], 'time_mentions': [], 'confidence': 0.5, 'notes': 'General comment on snow-related inefficiencies.'}]"
141,141,und,[]
142,142,und,[]
143,143,und,[]
144,144,und,[]
145,145,und,[]
146,146,und,[]
147,147,und,[]
148,148,und,"[{'event_type': 'investigation_charges_trial', 'trigger': 'istraga', 'locations': [], 'actors': [], 'time_mentions': [], 'confidence': 0.6, 'notes': 'Investigation regarding sound weapon usage.'}]"
149,149,und,[]
150,150,und,"[{'event_type': 'election', 'trigger': 'izbori', 'locations': ['Beograd', 'Bajina Bašta'], 'actors': ['Zaposlena u JKP'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Employee pressure related to elections.'}]"
151,151,und,"[{'event_type': 'investigation_charges_trial', 'trigger': 'žalbe', 'locations': [], 'actors': ['VST', 'Ustavni sud'], 'time_mentions': [], 'confidence': 0.7, 'notes': 'Constitutional court hearing on appeals.'}]"
152,152,und,"[{'event_type': 'election', 'trigger': 'izbora', 'locations': [], 'actors': ['Visoki savet tužilaštva'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Election results annulled.'}]"
153,153,und,[]
154,154,und,"[{'event_type': 'protest', 'trigger': 'oskvrnjavaju', 'locations': [], 'actors': ['Đilas', 'evroparlamentarcima'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Political and ethical criticisms involving interactions with European parliamentarians.'}]"
155,155,und,"[{'event_type': 'institutional_blockade', 'trigger': 'pravosuđe', 'locations': [], 'actors': ['Skupština', 'režim'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Debate on changes to the judiciary seen as power consolidation.'}]"
156,156,und,[]
157,157,und,"[{'event_type': 'clash_police_action', 'trigger': 'pucnjavi', 'locations': ['Kosovo', 'Kuršumlija'], 'actors': ['srpska policija'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Reports of shooting disabling movement.'}]"
158,158,und,"[{'event_type': 'university_administration_action', 'trigger': 'odbijen', 'locations': [], 'actors': ['Jelena Kleut'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Work position appeal rejected for a professor.'}]"
159,159,und,"[{'event_type': 'other', 'trigger': 'porast', 'locations': [], 'actors': ['Radovanović'], 'time_mentions': [], 'confidence': 0.7, 'notes': 'Forecast of flu increase.'}]"
160,160,und,"[{'event_type': 'other', 'trigger': 'porast', 'locations': [], 'actors': ['Radovanović'], 'time_mentions': [], 'confidence': 0.7, 'notes': 'Forecast of flu increase.'}]"
161,161,und,[]
162,162,und,[]
163,163,und,[]
164,164,und,[]
165,165,und,[]
166,166,und,"[{'event_type': 'international_reaction', 'trigger': 'pozvalo', 'locations': ['Iran'], 'actors': ['Ministarstvo spoljnih poslova Srbije'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Ministry advises citizens to leave Iran.'}]"
167,167,und,"[{'event_type': 'institutional_blockade', 'trigger': 'nije vratio', 'locations': [], 'actors': ['Klinički centar', 'doktor Dugalić'], 'time_mentions': ['rok'], 'confidence': 0.8, 'notes': 'Hospital non-compliance with court order.'}]"
168,168,und,"[{'event_type': 'investigation_charges_trial', 'trigger': 'rekonstrukcije', 'locations': [], 'actors': ['Danka Ilić'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Forensic findings related to murder case.'}]"
169,169,und,"[{'event_type': 'institutional_blockade', 'trigger': 'nije zatraženo', 'locations': [], 'actors': ['Visoki savet sudstva'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'No opinion requested on law amendments.'}]"
170,170,und,"[{'event_type': 'university_administration_action', 'trigger': 'odlučivanju', 'locations': [], 'actors': ['Popović', 'Kleut'], 'time_mentions': [], 'confidence': 0.7, 'notes': 'Concerns over university decision-making related to political interests.'}]"
171,171,und,"[{'event_type': 'investigation_charges_trial', 'trigger': 'optužnicu', 'locations': ['Beograd'], 'actors': ['VJT', 'vozač', 'devojčica'], 'time_mentions': [], 'confidence': 0.9, 'notes': ""Charge of bus driver related to girl's death.""}]"
172,172,und,[]
173,173,und,"[{'event_type': 'university_administration_action', 'trigger': 'koleginicu', 'locations': [], 'actors': ['Milićević', 'Jelena Kleut'], 'time_mentions': [], 'confidence': 0.7, 'notes': ""Concerns over academic freedom if professor's position lost.""}]"
174,174,und,"[{'event_type': 'international_reaction', 'trigger': 'obratile', 'locations': [], 'actors': ['CEPRIS', 'UN'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Appeal to UN over legal reform.'}]"
175,175,und,"[{'event_type': 'international_reaction', 'trigger': 'okrenuo', 'locations': [], 'actors': ['Srećko Đukić', 'CIA', 'Mosad'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Accusations of national security compromise.'}]"
176,176,und,"[{'event_type': 'protest', 'trigger': 'najavio protest', 'locations': ['Beograd', 'Ministarstvo zdravlja'], 'actors': [""Sindikat 'Opstanak'""], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Pharmacy protest with demands for meeting.'}]"
177,177,und,"[{'event_type': 'institutional_blockade', 'trigger': 'degradacija', 'locations': [], 'actors': ['Janjić'], 'time_mentions': [], 'confidence': 0.7, 'notes': 'Criticism on proposed judicial laws.'}]"
178,178,und,[]
179,179,und,[]
180,180,und,"[{'event_type': 'protest', 'trigger': 'Skup', 'locations': [], 'actors': ['Jelena Kleut'], 'time_mentions': [], 'confidence': 0.8, 'notes': ""Support demonstration for professor's position.""}]"
181,181,und,[]
182,182,und,[]
183,183,und,[]
184,184,und,[]
185,185,und,"[{'event_type': 'march_walk', 'trigger': 'krenuli', 'locations': ['Skadar', 'Krf'], 'actors': ['Niški planinari'], 'time_mentions': ['jutros'], 'confidence': 0.9, 'notes': 'Memorial march for historical event.'}]"
186,186,und,[]
187,187,und,"[{'event_type': 'other', 'trigger': 'otopio', 'locations': [], 'actors': [], 'time_mentions': [], 'confidence': 0.5, 'notes': 'Road conditions after snowmelt.'}]"
188,188,und,[]
189,189,und,"[{'event_type': 'institutional_blockade', 'trigger': 'nastavljena', 'locations': [], 'actors': ['Skupština', 'režim'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Session on judicial law amendments.'}]"
190,190,und,[]
191,191,und,"[{'event_type': 'injury_death', 'trigger': 'poginula', 'locations': ['Boleča'], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Fatal collision between bus and car.'}]"
192,192,und,[]
193,193,und,"[{'event_type': 'school_closure', 'trigger': 'vanredna', 'locations': [], 'actors': ['Stanković'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Potential shift to online classes due to extended emergencies.'}]"
194,194,und,[]
195,195,und,[]
196,196,und,"[{'event_type': 'traffic_blockade', 'trigger': 'lančani udes', 'locations': ['Pupinov most', 'Borča'], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Traffic stopped due to pile-up accident.'}]"
197,197,und,[]
198,198,und,"[{'event_type': 'arrest', 'trigger': 'priveden', 'locations': ['Valjevo'], 'actors': ['arhitekta'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'Arrest following protest action.'}]"
199,199,und,"[{'event_type': 'injury_death', 'trigger': 'poginuo', 'locations': ['Beograd'], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Fatal accident involving multiple vehicles.'}]"
200,200,sr,[]
201,201,sr,"[{'event_type': 'investigation_charges_trial', 'trigger': 'Krivične prijave', 'locations': ['Čačku'], 'actors': ['MUP', 'šest osoba'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Incident involving throwing icy objects at Ana Bekuta.'}]"
202,202,sr,[]
203,203,sr,"[{'event_type': 'election', 'trigger': 'izborima', 'locations': ['Kuli'], 'actors': ['dve grupe protiv režima', 'Lista podržana od studenata'], 'time_mentions': [], 'confidence': 0.8, 'notes': None}]"
204,204,hr,"[{'event_type': 'international_reaction', 'trigger': 'EU ne odustaje od dijaloga', 'locations': ['Srbija'], 'actors': ['EU', 'politički vrh Srbije'], 'time_mentions': [], 'confidence': 0.8, 'notes': None}]"
205,205,sr,[]
206,206,sr,"[{'event_type': 'protest', 'trigger': 'skup podrške', 'locations': [], 'actors': ['Slobodan univerzitet', 'profesorka Jelena Kleut'], 'time_mentions': [], 'confidence': 0.85, 'notes': None}]"
207,207,sr,"[{'event_type': 'institutional_blockade', 'trigger': 'privremeno obustavljeno grejanje', 'locations': ['Valjevo'], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': None}]"
208,208,sr,[]
209,209,sr,[]
210,210,sr,"[{'event_type': 'protest', 'trigger': 'revoltom odgovorili', 'locations': ['Čačani', 'koncert Ane Bekute'], 'actors': ['Čačanina'], 'time_mentions': [], 'confidence': 0.9, 'notes': None}]"
211,211,sr,[]
212,212,sr,"[{'event_type': 'clash_police_action', 'trigger': 'policija i batinaši tukli narod', 'locations': ['Valjevo'], 'actors': ['policija', 'batinaši'], 'time_mentions': ['pet meseci od noći'], 'confidence': 0.95, 'notes': None}]"
213,213,sr,[]
214,214,sr,[]
215,215,sr,"[{'event_type': 'investigation_charges_trial', 'trigger': 'prekršila konvenciju', 'locations': ['Srbija'], 'actors': ['Evropski sud za ljudska prava', 'Vesna Pešić'], 'time_mentions': [], 'confidence': 0.9, 'notes': None}]"
216,216,sr,"[{'event_type': 'institutional_blockade', 'trigger': 'zabranila zdravstvenim ustanovama', 'locations': [], 'actors': ['vlast', 'Novinari N1'], 'time_mentions': [], 'confidence': 0.85, 'notes': None}]"
217,217,sr,[]
218,218,sr,"[{'event_type': 'institutional_blockade', 'trigger': 'bl(okus)', 'locations': [], 'actors': ['studenti'], 'time_mentions': [], 'confidence': 0.8, 'notes': 'In support of Jelena Kleut'}]"
219,219,sr,[]
220,220,sr,[]
221,221,sr,"[{'event_type': 'protest', 'trigger': 'Protest Čačana', 'locations': ['ispred tužilaštva'], 'actors': ['Čačani'], 'time_mentions': [], 'confidence': 0.9, 'notes': ""Protest against arrests after Ana Bekuta's concert.""}, {'event_type': 'arrest', 'trigger': 'privedeno', 'locations': [], 'actors': ['šest osoba'], 'time_mentions': [], 'confidence': 0.9, 'notes': None}]"
222,222,sr,"[{'event_type': 'investigation_charges_trial', 'trigger': 'pretnje', 'locations': [], 'actors': ['ANEM', 'Marko Dragoslavić'], 'time_mentions': [], 'confidence': 0.85, 'notes': 'Reported threats to journalist.'}]"
223,223,sr,[]
224,224,sr,[]
225,225,sr,[]
226,226,sr,[]
227,227,sr,[]
228,228,sr,"[{'event_type': 'institutional_blockade', 'trigger': 'Ukinuta vanredna situacija', 'locations': ['Valjevu'], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': None}]"
229,229,sr,[]
230,230,sr,"[{'event_type': 'traffic_blockade', 'trigger': 'blokadu granice', 'locations': [], 'actors': ['Vozači kamiona iz Srbije, Crne Gore i BiH'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Due to EES system.'}]"
231,231,sr,[]
232,232,sr,[]
233,233,sr,[]
234,234,sr,"[{'event_type': 'arrest', 'trigger': 'Privedene četiri osobe', 'locations': [], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Involved in throwing icy objects at Ana Bekuta.'}]"
235,235,sr,"[{'event_type': 'institutional_blockade', 'trigger': 'obustavljene linije', 'locations': ['Vračar'], 'actors': [], 'time_mentions': [], 'confidence': 0.85, 'notes': 'Due to water pipe burst.'}]"
236,236,sr,[]
237,237,sr,[]
238,238,sr,[]
239,239,sr,"[{'event_type': 'institutional_blockade', 'trigger': 'ukinuo gotovo sve vozove', 'locations': ['Beograd', 'Lazarevac'], 'actors': ['Grad Beograd'], 'time_mentions': [], 'confidence': 0.9, 'notes': None}]"
240,240,sr,[]
241,241,bs,"[{'event_type': 'protest', 'trigger': 'protest', 'locations': [], 'actors': ['građani Čačka'], 'time_mentions': ['Večeras'], 'confidence': 0.9, 'notes': ""Due to arrests after Ana Bekuta's concert.""}]"
242,242,sr,"[{'event_type': 'clash_police_action', 'trigger': 'pucano na policiju', 'locations': ['selo kod Kuršumlije'], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': None}]"
243,243,sr,"[{'event_type': 'investigation_charges_trial', 'trigger': 'kućnom pritvoru', 'locations': [], 'actors': ['napadač', 'novinarka Insajdera'], 'time_mentions': [], 'confidence': 0.85, 'notes': None}]"
244,244,sr,[]
245,245,sr,[]
246,246,sr,[]
247,247,sr,[]
248,248,sr,[]
249,249,sr,[]
250,250,sr,[]
251,251,sr,[]
252,252,sr,[]
253,253,sr,[]
254,254,sr,[]
255,255,sr,[]
256,256,sr,[]
257,257,sr,[]
258,258,sr,[]
259,259,sr,[]
260,260,sr,[]
261,261,sr,[]
262,262,sr,[]
263,263,sr,"[{'event_type': 'counter_protest', 'trigger': 'Zbor građana podržao', 'locations': [], 'actors': ['građani', '11 Novopazaraca'], 'time_mentions': [], 'confidence': 0.85, 'notes': None}]"
