,label,confidence,rationale
17,related,0.74,"Naslov se odnosi na političko-pravne teme (lustracija, poreklo imovine) i studentski program predstavljen u Novom Sadu, što je tipično za blog/vesti sadržaj."
18,related,0.74,"Naslov se odnosi na politički protest u Novom Sadu i stav o lustraciji kao meri zaštite države, što je tipično povezano sa temama društveno-političkih dešavanja i javnih okupljanja."
19,related,0.62,"Naslov je na srpskom i opisuje protest u Novom Sadu; bez dodatnog konteksta deluje kao vest/izveštaj o događaju, ali nije jasno na šta tačno treba da bude 'related'."
20,related,0.74,"Tekst je naslov/izjava o pretnjama novinaru i redakciji, uz komentar da je to rečnik ljudi na vlasti; deluje kao političko-medijska tema i javna bezbednost, bez dodatnog konteksta."
21,related,0.9,"Pitanje je na srpskom i traži objašnjenje dela procesa usvajanja deteta u Srbiji (""školica roditeljstva""), što je jasno definisana tema i zahteva informativan odgovor o proceduri i sadržaju obuke."
22,related,0.74,"Naslov govori o Vučiću, donošenju pravosudnih zakona i „evropskom putu“, što je tipično povezano s politikom, vladavinom prava i EU integracijama."
23,related,0.86,"Tekst je naslov na srpskom o kupovini lokalne televizije u Užicu (mediji/poslovne akvizicije), što je tipično za vest/članak i deluje tematski povezano sa medijskim tržištem."
24,related,0.74,Tekst opisuje aktuelni događaj (protest studenata u Novom Sadu) i najavu/izjave o tome šta za njih znači pobeda; deluje kao naslov ili sažetak vesti o protestu.
25,related,0.74,"Naslov govori o radu tužilaštva i mogućim izmenama zakona (VTK/TOK), što je tema iz oblasti pravosuđa i institucionalnih reformi, pa je verovatno povezano sa političko-pravnim vestima."
26,related,0.86,"Pitanje je na srpskom i odnosi se na državne (nacionalne) penzije za umetnike i ko ih je dobio, što je tipična tema kulturne politike i javnih priznanja."
27,related,0.62,"Naslov govori o ubistvu u Marbelji i pominje bivšeg fudbalera Bakića kao drugu žrtvu iz iste narko-grupe, što upućuje na povezane događaje/aktere u okviru iste kriminalne grupe."
28,related,0.74,"Rečenica opisuje meteorološku pojavu: jačanje košave (jak vetar) i posledični pad temperature, što je tipično povezano u vremenskim izveštajima."
29,related,0.74,"Naslov govori o političkoj reakciji na odluku Ustavnog suda i kritikama upućenim sudijama i tužiocima, što je tipično za temu pravosuđa/politike i javnih institucija."
30,related,0.74,"Tekst govori o pravosudnim zakonima i reakciji ambasadorke Nemačke, što je tipično političko/pravosudno-ustavno pitanje i spada u istu tematsku oblast."
31,related,0.74,"Naslov govori o protestu učenika povodom završetka jednonedeljnog bojkota nastave, što je tipično povezano sa temama obrazovanja, građanskog aktivizma i društveno-političkih dešavanja."
32,related,0.62,"Naslov govori o najavi MUP-a o pojačanim kontrolama saobraćaja zbog većeg broja nesreća, što je tipično povezano sa temama bezbednosti u saobraćaju i policijskim merama."
33,related,0.74,"Izjava se odnosi na politički događaj u Srbiji (poseta misije Evropskog parlamenta) i prisustvo Ane Brnabić, što je u istom tematskom okviru kao i objava Stefana Janjića."
34,related,0.74,"Naslov opisuje saobraćajnu nezgodu sa povređenima kod Novog Pazara, što spada u lokalne vesti/incident (crna hronika)."
35,related,0.74,"Naslov je na srpskom i govori o političkoj izjavi Dragana Đilasa o izborima i potrebi za „drugačijima“, što je tipično za vest/politički kontekst; bez dodatnog konteksta ne može se preciznije odrediti tema, ali deluje kao relevantan politički naslov."
36,related,0.74,"Naslov je na srpskom i govori o kamiondžijama, EU i blokadi graničnih terminala—tema koja se uklapa u aktuelne društveno-političke/ekonomske vesti iz regiona."
37,related,0.74,"Naslov se odnosi na zakonodavne amandmane i kritiku zakona u kontekstu TOK-a, što je u domenu javnih politika/pravosuđa i organizovanog kriminala, pa je tematski povezano."
38,related,0.74,"Naslov govori o univerzitetu i slučaju profesorke Kleut, uz fraze o podršci/mentorstvu i institucionalnom nasilju, što upućuje na temu akademskih institucija i odnosa moći u okviru univerziteta."
39,related,0.62,"Naslov je na srpskom i deluje kao političko/izborno saopštenje (izborni program), ali bez dodatnog konteksta nije jasno na šta se tačno odnosi niti s čim treba da bude povezano."
40,related,0.74,"Naslov se bavi ubistvom Olivera Ivanovića i pominjanjem Milana Radoičića u sudskom kontekstu u Prištini, što je u istoj tematskoj oblasti (političko nasilje/istrage na Kosovu)."
41,related,0.74,"Pitanje se odnosi na navode o zataškavanju upotrebe zvučnog oružja na protestu i uključuje aktere (Srbija, ruska služba) i navodnu radnju (zlostavljanje pasa) kao deo te iste teme."
42,related,0.74,"Naslov se odnosi na odluku/meru Vlade Srbije o dodeli bele tehnike i kućnih aparata opštinama koje su proglasile vanrednu situaciju 12. januara, što je tipično povezano sa vestima o pomoći nakon vanrednih događaja."
43,related,0.62,"Naslov govori o odavanju pošte Oliveru Ivanoviću na godišnjicu njegovog ubistva, što je političko-društvena tema; bez dodatnog konteksta nije jasno na šta tačno treba da bude 'related', ali deluje kao vest iz politike/regiona."
44,related,0.74,"Naslov govori o incidentu gaženja Sonje Ponjavić i reakciji studenata Pravnog, uz temu povređenih i pomilovanja umesto odgovornosti—što je tipično za društveno-političke/pravne vesti o odgovornosti i pravdi."
45,related,0.86,"Naslov se bavi energetskim kompanijama (ADNOC, MOL, NIS) i vlasničkim udjelima u Srbiji, što je tipično za poslovno/energetsko-ekonomske vijesti."
46,related,0.62,Tekst je na srpskom i izgleda kao naslov vesti o pronalasku tela; bez dodatnog konteksta pretpostavljam da je u okviru teme aktuelnih događaja/vesti.
47,related,0.74,"Rečenica je naslov/vest o ograničenju korišćenja vozila stranih državljana na Kosovu (maks. tri meseca), što spada u temu saobraćajnih/administrativnih propisa i javnih politika."
48,related,0.62,"Naslov je na srpskom i govori o transkriptima poziva policiji koji otkrivaju gde je ICE agent upucao ženu u Mineapolisu; deluje kao vest/izveštaj o incidentu sa policijom/ICE, što je tematski koherentno i verovatno povezano sa širim kontekstom bez dodatnih informacija."
49,related,0.74,"Naslov govori o zadržavanjima kamiona na graničnim prelazima u Srbiji (Horgoš, Batrovci, Preševo), što je tipično saobraćajno/putno obaveštenje AMSS-a i spada u temu stanja na putevima i graničnim prelazima."
50,related,0.62,"Naslov se odnosi na usvajanje vladine uredbe o podsticajima za poljoprivredu i ruralni razvoj u 2026. godini, što je tema iz domena javnih politika/ekonomije i poljoprivrede."
51,related,0.74,"Naslov opisuje lančani sudar na auto-putu i posledice (smrtni ishod i povređeni), što je tipična vest iz rubrike hronika/saobraćaj."
52,related,0.74,"Naslov govori o političkom pritisku/vlasti i akademskoj zajednici (FPN), što je tipično tema društveno-političkih vesti i javnih institucija."
53,related,0.62,"Rečenica je naslov/vest o otvaranju prijava na konkurs za generalnog direktora RTS, što spada u domen aktuelnih događaja i javnih institucija."
54,uncertain,0.62,"Naslov sugeriše temu o narko-kartelima i vezama između Venecuele i Balkana, ali bez dodatnog konteksta nije jasno da li se traži sažetak, analiza, prevod ili nešto drugo."
55,uncertain,0.62,"Izgleda kao naslov/izjava (na srpskom) o Jeleni Kleut i temi pravde u kontekstu posla, ali bez dodatnog konteksta nije jasno na šta se tačno odnosi niti kakav je traženi zadatak."
56,related,0.74,"Rečenica opisuje incident u Novom Sadu tokom odavanja počasti stradalima, što je u domenu aktuelnih događaja/vesti i potencijalno povezano sa širim kontekstom dešavanja u Novom Sadu."
57,related,0.74,"Naslov na srpskom opisuje pronalazak tela sa dve prostrelne rane u šumi kod Sopota, što je tipična vest o nasilnom incidentu/kriminalu i uklapa se u kategoriju crne hronike."
58,related,0.74,"Naslov govori o dugu komunalnih preduzeća u Beogradu prema dobavljačima (finansije/javni sektor), što je tipično relevantno za vesti o ekonomiji, budžetu i lokalnoj upravi."
59,related,0.78,"Naslov opisuje hapšenje nakon krađe dostavnog vozila i bekstva od policije u Novom Sadu, što spada u temu kriminala i policijskih intervencija."
60,related,0.74,Rečenica je na srpskom i predstavlja poziv Instituta za transfuziju krvi Srbije punoletnim građanima da daju krv; deluje kao vest/javni apel.
61,related,0.62,"Naslov je na srpskom i govori o događaju/istrazi u Kragujevcu; bez dodatnog konteksta deluje kao vest iz Srbije, pa je verovatno tematski relevantno za regionalne/aktuelne vesti."
62,related,0.86,"Naslov govori o pretnjama novinaru Vuku Cvijiću i redakciji Radara i pozivu da se hitno istraže i sankcionišu, što je tema bezbednosti novinara i slobode medija."
63,related,0.74,"Naslov govori o medijskom sektoru (ANEM i kupovina lokalne TV stanice), što je tipično povezano s temama o medijima i vlasništvu nad medijima."
64,related,0.74,"Naslov govori o incidentima i nedostatku informacija u opštini Bujanovac kod baze ""Debela glava"", što je tipično za lokalne bezbednosne/incidentne vesti i deluje povezano sa temom aktuelnih događaja u regionu."
65,related,0.74,"Naslov je na srpskom i govori o ministru (Lončar) i predsednici sindikata Apoteke Beograd u kontekstu rešenja i zaostalih plata, što upućuje na aktuelnu društveno-političku/ekonomsku vest."
66,related,0.62,"Both NIS and INA are oil and gas companies in the former Yugoslav region; the statement suggests NIS could face a similar scenario to what happened to Croatia’s INA, indicating a thematic link."
67,related,0.74,"Tekst je naslov na srpskom o saopštenju/izjavi Demokratske unije Roma da je naselje Crvena zvezda u Nišu dva meseca bez struje, što je društveno-politička/komunalna tema i deluje kao vest."
68,related,0.62,"Naslov govori o Memiću i Vuku Stankoviću na DUNP-u kod nove dekanke i pozivu studentima da prekinu blokadu; bez dodatnog konteksta deluje kao vest o univerzitetu/protestima, što je verovatno povezano sa temom studentskih blokada."
69,related,0.74,"Naslov govori o reakciji Poverenika na izjavu ministra Selakovića i pozivu na primeren govor, što je u domenu javnog diskursa i potencijalno govora mržnje/neprimerenih aluzija."
70,related,0.78,"Naslov je politička izjava/vest o odnosu vlasti prema akademskoj zajednici, što spada u društveno-političke teme i javni diskurs."
71,related,0.74,"Naslov govori o kritici pravosudnog sistema i poverenju u policiju bez provere, što je tema pravosuđa i postupaka; deluje kao političko/pravosudna vest, ali bez dodatnog konteksta nije moguće preciznije povezivanje."
72,related,0.74,"Obe izjave se odnose na odnos vlasti Srbije prema delegaciji Evropskog parlamenta (EP) i nivou na kom će biti primljena, uz konkretno pominjanje bojkota pojedinih članova (Picula)."
73,related,0.78,"Naslov govori o sastanku i političkim stavovima Srbije i Francuske (Vučić i Baro), što je tipično za vesti o međunarodnim odnosima i evropskoj politici."
74,related,0.74,"Naslov se odnosi na službenu upotrebu mađarskog jezika u opštini Bečej, što je tema manjinskih prava i jezičke politike u Srbiji/Vojvodini, tipično u domenu regionalnih vesti i društveno-političkih pitanja."
75,related,0.62,"Naslov je na srpskom i govori o pretnjama nasiljem novinaru Vuku Cvijiću i nedeljniku Radar; bez dodatnog konteksta deluje kao vest o medijskim slobodama/bezbednosti novinara, što je verovatno povezano sa temom aktuelnih društveno-političkih događaja."
76,related,0.62,"Naslov govori o protestu ispred Ministarstva zdravlja i prijemu predstavnika Apoteke Beograd kod ministra Lončara, što je tipično za temu zdravstva/javnih institucija i društvenih događaja u Srbiji."
77,related,0.74,"Naslov se odnosi na Olivera Ivanovića i pitanje otkrivanja njegovih ubica, što je uobičajena tema u vezi sa političkim i bezbednosnim okolnostima na Kosovu i u Srbiji; bez dodatnog konteksta ne može se preciznije povezati, ali deluje tematski povezano."
78,related,0.62,"Naslov govori o iznošenju neistinitih tvrdnji u vezi sa odbacivanjem krivične prijave protiv određenih osoba, što upućuje na temu dezinformacija/činjeničnih netačnosti u javnom diskursu."
79,related,0.74,"Naslov govori o dekanki FPN i zahtevu Ministarstva prosvete za ponavljanje glasanja o njenom izboru na funkciju, što je tema iz oblasti obrazovanja i upravljanja univerzitetom."
80,related,0.62,Naslov na srpskom govori o ponovnom početku postupka u predmetu Banjska; bez dodatnog konteksta deluje kao vest/političko-pravni događaj vezan za slučaj Banjska.
81,related,0.62,"Naslov govori o bezbednosnim strukturama i istrazi ubistva Olivera Ivanovića; tema je političko-bezbednosna i vezana za događaje na Kosovu/ Srbiji, što je uobičajeno povezano sa regionalnim vestima."
82,related,0.78,"Naslov se odnosi na politički dijalog i korake ka formiranju ZSO (Zajednice srpskih opština), što je tema vezana za pregovore Beograda i Prištine i širi regionalni politički kontekst."
83,related,0.62,Fraza na srpskom opisuje događaj (protestni skup) ispred Rektorata u Novom Sadu; bez dodatnog konteksta deluje kao naslov/tema vesti.
84,related,0.62,"Naslov se odnosi na stanje vrtića na Čukarici i navodi tvrdnju SSP-a; bez dodatnog konteksta nije jasno na šta tačno treba da bude 'related', ali deluje kao političko-lokalna vest."
85,related,0.62,"Naslov je na srpskom i govori o hapšenju zbog sumnje na krađu novca iz crkve; bez dodatnog konteksta deluje kao vest iz rubrike hronika/kriminal, ali tema nije precizirana pa je procena umerene sigurnosti."
86,related,0.62,"Naslov se odnosi na pravosuđe (sudije, javni tužioci, Ustavni sud, zakon o Visokom savetu tužilaštva), što je tipično za političko-pravne/ustavne teme."
87,related,0.74,"The text is a headline-style statement about the stability of electricity supply, which is a clear, coherent topic likely related to energy infrastructure or public services."
88,related,0.74,"Naslov govori o vlasti i navodnoj kampanji protiv slobode izražavanja, što je tipično političko-društvena tema i spada u domen javnih/političkih vesti."
89,related,0.74,"Rečenica je na srpskom i deluje kao naslov/sažetak vesti o porastu broja prekršaja Kodeksa u nacionalnim dnevnim novinama u odnosu na 2024, što je tipično za medijski monitoring i aktuelne informacije."
90,related,0.62,"Naslov govori o vanrednoj situaciji u opštinama (lokalna uprava/bezbednost), što je tipično povezano sa aktuelnim vestima i javnim merama; bez dodatnog konteksta tema deluje kao vest o upravljanju krizom."
91,related,0.74,"Naslov govori o očuvanju prirode i ekološkim akcijama (""zeleni trag""), što je tematski povezano sa zaštitom životne sredine."
92,related,0.62,"Naslov se odnosi na ANEM i slučaj profesorke/novinarke Jelene Kleut, uz tvrdnju o represiji na univerzitetima i nad profesorima novinarstva; bez dodatnog konteksta nije jasno na šta tačno treba da se poveže, ali tema je mediji/akademska sloboda i pritisci, što je verovatno relevantno."
93,related,0.74,"Naslov govori o političkom revanšizmu i odmazdi zbog kritike vlasti, što je tipično za političke vesti/komentare; bez dodatnog konteksta nije moguće preciznije odrediti temu, ali deluje kao politička izjava/saopštenje."
94,related,0.74,"Naslov se odnosi na političku izjavu (SSP) o uticaju SNS na univerzitetske organe, što je tema političkog uticaja na institucije."
95,related,0.62,"Naslov govori o političkim reakcijama i navodima o opstrukciji istine u vezi sa ubistvom Olivera Ivanovića, što je tema od javnog i političkog značaja i tipično spada u vesti o regionalnoj politici i bezbednosti."
96,uncertain,0.62,"Tekst je na srpskom i izgleda kao naslov/tema vesti („Godinu dana od gaženja studentkinje Sonje Ponjavić“), ali bez dodatnog konteksta nije jasno na šta tačno korisnik cilja (npr. traži vest, godišnjicu, detalje slučaja ili komentar)."
97,related,0.74,"Naslov se odnosi na izjavu Aleksandra Vučića o ubistvu Olivera Ivanovića i navodima o pokušaju Prištine da optuži Beograd, što je političko-bezbednosna tema vezana za Kosovo i Srbiju."
98,related,0.74,"Naslov opisuje saopštenje MUP-a o saobraćajnom prekršaju/krivičnom delu (vožnja pod dejstvom alkohola i kokaina, bez dozvole i lične karte) u Staroj Pazovi, što je tipično za rubriku hronika/bezbednost."
99,related,0.62,"Naslov govori o političkoj delegaciji (DS) i komemoraciji na mestu ubistva Olivera Ivanovića, što spada u političko-društvene vesti."
100,related,0.74,"Naslov govori o političkom procesu i izboru članova Saveta REM-a (regulatorno telo za elektronske medije), što je u domenu medijske regulative i javnih institucija."
101,related,0.74,"Naslov govori o Oliveru Ivanoviću, Briselskom sporazumu i odgovornosti Beograda, Prištine i međunarodne zajednice—tema je političko-bezbednosna situacija na Kosovu i odnosi Srbija–Kosovo, što je međusobno povezano."
102,related,0.62,"Naslov se odnosi na nastavak suđenja Zoranu Marjanoviću i najavu ponovnog izjašnjavanja članova porodice, što je tipično za izveštavanje o krivičnom postupku i sudskim dešavanjima."
103,related,0.62,"Naslov govori o političkom nasilju i nekažnjenom ubistvu Olivera Ivanovića, što je tipično za političke/kriminalne vesti; bez dodatnog konteksta ne može se preciznije povezati sa konkretnom temom, ali deluje relevantno u okviru političkih događaja u Srbiji/Kosovu."
104,related,0.86,"Naslov govori o Er Srbiji i zimskom čekanju aviona na poletanje zbog odleđivanja, što je tipično za avio-saobraćaj/operacije i kašnjenja u zimskim uslovima."
105,related,0.86,"Naslov govori o aplikaciji „Budi moje oči“ (Be My Eyes) koja pomaže slepim i slabovidim osobama uz pomoć volontera sa pametnim telefonom, što je tipična tema o asistivnoj tehnologiji i društveno korisnim digitalnim rešenjima."
106,related,0.74,"Naslov je na srpskom i govori o nemačkom dnevniku koji komentariše incident u Čačku kao izraz gneva zbog nesposobnosti države i njenih prioriteta; deluje kao političko-društvena vest/analiza, bez očigledne nepovezane teme."
107,related,0.74,"Naslov govori o protestu zaposlenih u Apoteci Beograd, zahtevima za isplatu plata i sastanak sa ministrom zdravlja Zlatiborom Lončarom—tema je društveno-politička/ekonomska vest o radničkim pravima i javnom zdravstvu."
108,related,0.74,"Tekst je na srpskom i odnosi se na Olivera Ivanovića (javna ličnost) i izjavu njegove sestre; deluje kao naslov/izjava vezana za njegov slučaj ili sećanje, pa je verovatno tematski povezan."
109,related,0.74,"Naslov govori o početku saslušanja i skupu podrške ispred suda u slučaju navodnog policijskog prebijanja, što je tipično za rubriku hronika/pravosuđe i društvene događaje."
110,related,0.62,"Naslov govori o povlačenju nebezbednog mesa iz prometa u Somboru, što je tipična tema javnog zdravlja/bezbednosti hrane i lokalnih vesti."
111,related,0.74,"Naslov je politička izjava/saopštenje (NPS) o vlasti i odnosu prema EU, što spada u političke vesti/komentare."
112,related,0.78,"Naslov govori o slobodi medija, solidarnosti sa novinarkom/akademskom radnicom i pritiscima na slobodu izražavanja i obrazovanje novinara, što je tipično povezano sa temama medijskih sloboda i novinarstva."
113,related,0.74,"Naslov govori o hapšenju vozača nakon saobraćajne nezgode (udar pešaka i bekstvo), što je tipična vest iz rubrike hronika/saobraćaj."
114,related,0.74,"Naslov se odnosi na finansijsku podršku Evropske komisije Srbiji, što je tipično za vesti o EU fondovima/finansiranju i regionalnim odnosima."
115,related,0.74,"Naslov govori o Srbiji, EU sredstvima i kupovini tehnologije od sankcionisane ruske firme, što je tipično za teme vezane za sankcije, bezbednost i međunarodne odnose."
116,related,0.74,"Fraza izgleda kao naslov/tema o događaju ili optužbi za institucionalno nasilje na Slobodnom univerzitetu u Novom Sadu prema profesorki Jeleni Kleut; bez dodatnog konteksta nije moguće preciznije odrediti, ali deluje koherentno i tematski povezano."
117,related,0.62,"Rečenica je naslov/vest na srpskom o pomenu Oliveru Ivanoviću u Hramu Svetog Save; bez dodatnog konteksta deluje kao političko-društvena vest, ali tema nije eksplicitno navedena pa je procena umerene sigurnosti."
118,related,0.86,"User states someone needs help for chemotherapy and immunotherapy, which is a health/medical support request and likely related to medical assistance."
119,related,0.74,"Naslov govori o vanrednoj situaciji u više opština i zasedanju Štaba za vanredne situacije, što je tipično za izveštavanje o kriznim događajima i merama nadležnih organa."
120,related,0.74,"Naslov govori o stanju u Kosovskoj Mitrovici i o ideji memorijalnog centra posvećenog Oliveru Ivanoviću, što je tema vezana za političko-bezbednosne i društvene prilike na Kosovu i u srpskoj zajednici."
121,related,0.74,"Naslov govori o osudi izjava gradonačelnika Leskovca i podršci doktorandu, što je tipično za vest/saopštenje iz akademske ili građanske inicijative; deluje kao relevantna društveno-politička tema, ali bez dodatnog konteksta nije moguće preciznije povezivanje."
122,related,0.62,"Naslov govori o maloletniku iz Beograda i navodnom postupanju kosovske policije; tema je regionalna politika/bezbednost i ljudska prava, što je uobičajeno povezano sa vestima o Kosovu i Srbiji."
123,related,0.78,"Rečenica opisuje saobraćajnu nezgodu (prevrnuto vozilo) i posledicu po saobraćaj (otežan), što je tipičan naslov/vest iz domena saobraćaja i javnih informacija."
124,related,0.62,"Naslov je na srpskom i govori o upozorenju na poledicu i apel vozačima; bez dodatnog konteksta deluje kao vest/saobraćajno upozorenje, ali nije jasno na šta tačno treba da bude 'related'."
125,related,0.74,"Naslov govori o dugovima javnih komunalnih preduzeća u Beogradu i reakciji MMF-a, što je tipično povezano s ekonomijom, javnim finansijama i međunarodnim finansijskim institucijama."
126,related,0.62,"Naslov se odnosi na pravosuđe i predložene pravosudne zakone; bez dodatnog konteksta nije jasno na šta tačno treba da se poveže, ali tema je u domenu pravosudnih reformi."
127,related,0.74,"Naslov govori o amandmanu SNS na predlog Zakona o javnim tužilaštvima i posledici po rad TOK, što je tema iz oblasti politike/pravosuđa i javnih institucija; bez dodatnog konteksta nije moguće preciznije mapiranje, ali deluje kao relevantna vest/politička tema."
128,related,0.74,"Naslov govori o pritvoru u Srbiji zbog nepostojanja adrese, što je tipično povezano sa temama socijalne ugroženosti, pravosuđa i sistemske diskriminacije; bez dodatnog konteksta nije moguće preciznije odrediti širi okvir."
129,related,0.62,Tekst je na srpskom i govori o godišnjici atentata na Olivera Ivanovića i činjenici da počinioci nisu poznati; bez dodatnog konteksta pretpostavljam da se traži klasifikacija naslova/vesti kao relevantne u okviru teme o političkim događajima/bezbednosti na Kosovu i u Srbiji.
130,related,0.74,"Naslov govori o političkoj izjavi (Ponoš) i sporu oko termina sastanka sa delegacijom Evropskog parlamenta, što je u domenu aktuelne politike i javnih izjava."
131,related,0.99,"Poruka opisuje stanje na putevima (mokri kolovozi u nižim predelima, sneg na putu u višim), što je tipično saobraćajno/putno obaveštenje."
132,related,0.78,"Naslov govori o hitnoj pomoći i lakšim povredama u saobraćajnim nezgodama u Beogradu, što je tipična vest iz rubrike hronika/saobraćaj i deluje kao relevantna informacija o incidentima i intervencijama."
133,related,0.74,"Rečenica je naslov/izjava o vremenskim prilikama (hladnije nego juče, toplo za doba godine, očekuje se sneg na istoku), što je tipično za vremensku prognozu ili meteorološku vest."
134,related,0.74,"Naslov se odnosi na suđenje i presudu u slučaju ubistva Olivera Ivanovića, uz tvrdnju da presuda nije razjasnila ključne činjenice (izvršilac i nalogodavac)."
135,uncertain,0.62,"User’s message (“Na današnji dan, 16. januar”) is incomplete and lacks context about what they want (events, history, holidays, etc.), so intent can’t be determined."
136,related,0.93,"Naslov govori o protestu dela članova DSHV-a u Subotici i njihovim zahtevima prema Tomislavu Žigmanovu (razgovor i unutarstranački izbori), što je jasno politička/stranačka tema i deluje kao relevantna vest o unutrašnjim dešavanjima u DSHV-u."
137,related,0.62,"Naslov govori o političkom zahtevu građana u Raški da lokalni funkcioneri podnesu ostavke, što je tipično za lokalne vesti/politiku."
138,related,0.78,"Naslov govori o dekanici FPN i očekivanoj represiji vlasti prema univerzitetima, uključujući njeno razrešenje—tema je vezana za univerzitete, vlast i politički pritisak."
139,related,0.74,"Naslov se odnosi na političku odluku Evropske komisije o ukidanju kaznenih mera prema Kosovu, što je tipična tema međunarodnih odnosa i evropske politike."
140,related,0.74,"Rečenica opisuje situaciju na skijalištu (sneg, staze, žičara) i problem neusklađene spremnosti infrastrukture sa vremenskim uslovima, što je tematski povezano."
141,related,0.86,The text is a Serbian headline/quote about Miodrag Stojković stating he will never again apply for membership in SANU and criticizing centralized decision-making; it reads like a news/political-academic statement.
142,related,0.74,"Naslov govori o najavi/spekulaciji o američkim sankcijama i ciljanim kategorijama ljudi (srednji nivo menadžmenta), što je tipično političko-ekonomska tema vezana za međunarodne odnose i sankcije."
143,related,0.62,"Izjava se odnosi na političko-ekonomski spor/komentar o prodaji imovine ili resursa (Srbija prodaje nešto što nije njeno) i kupovini od strane Mađarske, što je tipično za teme o vlasništvu, privatizaciji ili međudržavnim aranžmanima."
144,related,0.74,"Naslov se bavi političkim stavom vlasti prema EU akterima i motivima evropskih integracija (finansijska korist), što je u domenu EU integracija/politike."
145,related,0.74,"Tekst je na srpskom i govori o kupovini hotela Jugoslavija i državnim subvencijama od 30 miliona evra, uz tvrdnju da država novcem građana pomaže najbogatijima—tema je javne potrošnje/subvencija i ekonomsko-političke kritike."
146,related,0.74,"Naslov se odnosi na političke aktere (Orban, Vučić) i okupljanje svetske desnice, što je u domenu političkih vesti/analize."
147,uncertain,0.62,"Naslov sugeriše političku/medijsku vijest o izjavi Bisljimija i reakciji Petkovića, ali bez dodatnog konteksta nije jasno na šta se tačno odnosi (npr. Kosovo–Srbija dijalog, domaća politika, konkretan događaj), pa je teško pouzdano klasifikovati."
148,uncertain,0.55,"Pitanje je neodređeno: nije navedeno o kojoj istrazi (koja država/grad, koji događaj i datum) se radi, pa ne mogu pouzdano reći dokle se stiglo bez dodatnog konteksta."
149,related,0.86,"Naslov govori o vodostajima reka u Srbiji (Dunav, Sava, Velika Morava, Tisa), što je tipično za vest/saopštenje javnog vodoprivrednog preduzeća Srbijavode i spada u temu hidroloških uslova i upravljanja vodama."
