,0,1
307,napredak,14
308,razvoj,14
309,nastavljeno,14
310,15,14
311,bilateralan,14
312,zabrana,14
313,optužiti,14
314,nastava,14
315,inicijativa,14
316,Brnabićeva,14
317,direktor,14
318,tragedija,14
319,čas,14
320,ponedeljak,14
321,sačuvati,14
322,medijski,14
323,pravda,14
324,svet,14
325,mup,14
326,četvorica,14
327,obaveza,13
328,informisanje,13
329,stabilan,13
330,oko,13
331,Rusija,13
332,plata,13
333,očekujem,13
334,investicija,13
335,pismo,13
336,odbiti,13
337,šef,13
338,raskrsnica,13
339,većina,13
340,oblast,13
341,republika,13
342,kineski,13
343,Kina,13
344,spisk,13
345,zatražiti,13
346,ulica,13
347,zasedanje,13
348,dvojica,13
349,1,13
350,podržavati,13
351,istorijski,13
352,gost,13
353,revolucija,13
354,Zaječar,13
355,mlad,13
356,teritorijalan,12
357,teror,12
358,zaposlen,12
359,Mrdić,12
360,potpisati,12
361,vreme,12
362,list,12
363,početi,12
364,stav,12
365,svedok,12
366,integracija,12
367,usl,12
368,januar,12
369,značaj,12
370,lice,12
371,potez,12
372,zapad,12
373,istraga,12
374,koalicija,12
375,glasati,12
376,Zvečana,12
377,stanica,12
378,projekt,12
379,poverenje,12
380,Sad,12
381,graditi,12
382,upad,12
383,uhapšen,12
384,slobodan,11
385,vanredan,11
386,izlazak,11
387,prioritet,11
388,vojska,11
389,konferencija,11
390,određen,11
391,radnik,11
392,broj,11
393,pripadnik,11
394,unija,11
395,pritisak,11
396,CIK -,11
397,korupcija,11
398,nered,11
399,život,11
400,poštovanje,11
401,tzv,11
402,čekati,11
403,škola,11
404,završen,11
405,prav,11
406,održati,11
407,svetski,11
408,Popović,11
409,štrajkivati,11
410,mandatar,11
411,žrtva,11
412,potpredsednik,11
413,akcija,11
414,nivo,11
415,obići,11
416,prisustvovati,11
417,vraćati,10
418,Kosovski Mitrovica,10
419,dati,10
420,kanal,10
421,delo,10
422,podneti,10
423,izgradnja,10
424,sledeći,10
425,odlaganje,10
426,promeniti,10
427,strana,10
428,reč,10
429,treći,10
430,napraviti,10
431,predložiti,10
432,nastavljen,10
433,spoljan,10
434,SNS,10
435,identitet,10
436,takovski,10
437,misija,10
438,način,10
439,ugovor,10
440,razumevanje,10
441,privesti,10
442,Niš,10
443,mionica,10
444,cena,10
445,ideja,10
446,rat,10
447,KiM Vučić,10
448,tačka,10
449,tema,10
450,navodan,10
451,predstavljati,10
452,doći,10
453,bolnica,10
454,prijateljstvo,10
455,Marta Kos,10
456,posvetiti,10
457,istina,10
458,Priština Vučić,10
459,Kosovo,10
460,formirati,10
461,Ana Brnabić,10
462,muškarac,10
463,oružje,10
464,stan,10
465,aktivist,10
466,konkretan,10
467,lider,10
468,a Novi,10
469,Kfor,10
470,služba,10
471,pratiti,10
472,dokaz,10
473,Kaja Kalas,10
474,samoopredeljenje,9
475,Marinika Tepić,9
476,bocan,9
477,kurtija,9
478,aktivnost,9
479,28,9
480,naredan,9
481,gradski,9
482,procedura,9
483,sredstvo,9
484,Tramp,9
485,priznati,9
486,Đokić,9
487,prilika,9
488,usvojena,9
489,deklaracija,9
490,fokus,9
491,severni,9
492,poslanički,9
493,ići,9
494,kompanija,9
495,spomenik,9
496,MUP -,9
497,izabrati,9
498,reakcija,9
499,NIS,9
500,sastav,9
501,Evropa,9
502,očuvanje,9
503,prosveta,9
504,održan,9
505,diplomatija,9
506,odsustvo,9
507,Negotin,9
508,utorak,9
509,trgovina,9
510,režim,9
511,vladavina,9
512,MSP,9
513,znati,9
514,prekinuti,9
515,pokušati,9
516,telefon,9
517,šansa,9
518,dalj,9
519,dočekati,9
520,dokumentacija,9
521,pešačiti,9
522,voditi,9
523,mali,9
524,program,9
525,novosadski,9
526,kolegijum,9
527,kurtijev,9
528,planirati,9
529,filozofski,9
530,saobraćaj,9
531,saobraćajnica,9
532,neophodan,8
533,verovati,8
534,mest,8
535,organ,8
536,ispuniti,8
537,vozilo,8
538,snabdevanje,8
539,uvek,8
540,eksplozija,8
541,sudija,8
542,objaviti,8
543,odbaciti,8
544,poset,8
545,pozicija,8
546,poseban,8
547,fond,8
548,htjeti,8
549,opstanak,8
550,EU Srbija,8
551,dočeći,8
552,Klaster,8
553,milion,8
554,počelo,8
555,raspravljati,8
556,sklad,8
557,podneoti,8
558,organizovan,8
559,Vujić,8
560,dužnost,8
561,kontrola,8
562,savet REM,8
563,crkva,8
564,kazna,8
565,predstaviti,8
566,- u,8
567,proći,8
568,Srbija EU,8
569,mogućnost,8
570,demokratski,8
571,sredina,8
572,ustanova,8
573,februar,8
574,zahvalan,8
575,prihvatiti,8
576,centralan,8
577,Albanac,8
578,glavni,8
579,hitan,8
580,novac,8
581,novembar,8
582,istok,8
583,građanski,8
584,terorizam,8
585,forum,8
586,sprečiti,8
587,ruka,8
588,ulaz,8
589,upotreba,8
590,obojen,8
591,nuditi,8
592,mer,8
593,slika,8
594,parada,8
595,Gračanica,8
596,koristiti,8
597,napati,8
598,predstojeći,8
599,severnoj,8
600,pomoćnik,8
601,maj,8
602,zatvaranje,8
603,prelazni,8
604,nesreća,8
605,ubistvo,7
606,značiti,7
607,postupak,7
608,šator,7
609,osvojiti,7
610,otvarati,7
611,fabrika,7
612,kućni,7
613,Slađan Trajković,7
614,2026,7
615,ambasada,7
616,zdravstvo,7
617,oproštajan,7
618,rešiti,7
619,sportski,7
620,Novi Pazar,7
621,doček,7
622,zvaničnik,7
623,Fon Bekerat,7
624,infrastruktura,7
625,Srbija Macut,7
626,regionalan,7
627,doputovati,7
628,vidjeti,7
629,Novi Sada,7
630,rušenje,7
631,deca,7
632,čovek,7
633,Selaković,7
634,ustav,7
635,odgovarati,7
636,tvrdnja,7
637,zaštititi,7
638,živjeti,7
639,laž,7
640,radni,7
641,pouzdan,7
642,pravnog,7
643,energetika,7
644,osnovan,7
645,uraditi,7
646,istorija,7
647,obezbediti,7
648,zloupotreba,7
649,grafit,7
650,predsedništvo,7
651,amandman,7
652,dnevan,7
653,BiH,7
654,ime,7
655,donositi,7
656,početak,7
657,hvala,7
658,bezbednosni,7
659,doneti,7
660,Dijana Hrka,7
661,pretnja,7
662,novinar,7
663,primen,7
664,Makron,7
665,krug,7
666,penzija,7
667,pešača,7
668,ponosan,7
669,ostati,7
670,Šapić,7
671,događaj,7
672,dodatan,7
673,greška,7
674,napredovati,7
675,EP,7
676,standard,7
677,povratak,7
678,Potok,7
679,Vojvodina,7
680,Ekspo,7
681,Lajen,7
682,pažnja,7
683,turski,7
684,legalizacija,7
685,progon,7
686,Srbin Kosovo,7
687,Mađarska,7
688,reagovati,7
689,napadnut,7
690,posledica,7
691,rešavanje,7
692,demonstrant,7
693,ZSO,7
694,zaustaviti,7
695,najavljivati,7
696,Milivojević,7
697,požar,7
698,Kosjerić,7
699,Vidovdan,7
700,jun,7
701,razlog,7
702,prosvetar,7
703,zvučan,7
704,socijalan,7
705,om,6
706,snažan,6
707,uloga,6
708,nastavićemo,6
709,prijateljski,6
710,opozicioan,6
711,Jovanović,6
712,utvrditi,6
713,okolina,6
714,hala,6
715,nemački,6
716,predizboran,6
717,spoljni,6
718,nezavisnost,6
719,osumnjičiti,6
720,Sečnja,6
721,povući,6
722,otvoren,6
723,dogovoriti,6
724,Zečević,6
725,Briselo,6
726,- Harčenko,6
727,tužilac,6
728,Stanković,6
729,spor,6
730,REM,6
731,milijarda,6
732,dinar,6
733,Srđan Lazović,6
734,CIK,6
735,večera,6
736,atmosfera,6
737,naredni,6
738,preuzeti,6
739,predsednica,6
740,Macut RTS,6
741,nada,6
742,a Srbija,6
743,učestvivati,6
744,status,6
745,- Harčenkom,6
746,profesor,6
747,CIK Priština,6
748,zaključak,6
749,udar,6
750,Srbija Đurić,6
751,brz,6
752,licenca,6
753,sutra,6
754,sekretar,6
755,uticaj,6
756,ministr,6
757,poredak,6
758,prijem,6
759,zabraniti,6
760,referendum,6
761,evrointegracija,6
762,produžen,6
763,kršiti,6
764,četvrti,6
765,odlučiti,6
766,prestati,6
767,vest,6
768,Dodik,6
769,boriti,6
770,petorica,6
771,oktobar,6
772,kralj,6
773,agenda,6
774,leks,6
775,specijalis,6
776,medij,6
777,petak,6
778,govoriti,6
779,imenovati,6
780,jasan,6
781,štrajak,6
782,preporuka,6
783,noć,6
784,akademski,6
785,Kos,6
786,mržnja,6
787,zadovoljan,6
788,Pazar,6
789,staviti,6
790,priprema,6
791,stvar,6
792,ročište,6
793,general,6
794,privođenje,6
795,organizacija,6
796,tvrditi,6
797,jedini,6
798,odrediti,6
799,Beograd Vučić,6
800,drecun,6
801,učesnik,6
802,Putin,6
803,šefica,6
804,značajan,6
805,oslobađanje,6
806,žena,6
807,povećanje,6
808,generalan,6
809,Srbija Mađarska,6
810,opasnost,6
811,postati,6
812,proterivanje,6
813,želimo,6
814,prištinski,6
815,runda,6
816,dekan,6
817,napustiti,6
818,dolazak,6
819,izmene,6
820,ući,6
821,deeskalacija,6
822,sorensen,6
823,poternica,6
824,životan,6
825,reagovanja,6
826,pristalica,6
827,naložiti,6
828,scena,6
829,Hrvatska,6
830,civilan,6
831,Neuspeo,6
832,niko,6
833,šteta,6
834,brojan,6
835,dolaziti,6
836,podelo,6
837,park,6
838,ispunjiti,6
839,podržati,6
840,gradilište,6
841,9,6
842,Đuro Macut,6
843,top,6
844,lak,5
845,pokrenuti,5
846,kurtijeva,5
847,Vuletić,5
848,prorektor,5
849,dekanima,5
850,primena,5
851,april,5
852,bezbednosan,5
853,Jevtić,5
854,Bogdan Jovičić,5
855,2027,5
856,Starović,5
857,društven,5
858,potpisan,5
859,prisustvo,5
860,preliminaran,5
861,manjina,5
862,demantovati,5
863,Gašić,5
864,KFOR -,5
865,dokument,5
866,osuđivati,5
867,niz,5
868,razmatrati,5
869,odgovoriti,5
870,podignuta,5
871,sudij,5
872,zdravstven,5
873,zatvoriti,5
874,uprkos,5
875,zelen,5
876,bačkoj,5
877,osloboditi,5
878,verujem,5
879,nafta,5
880,širenje,5
881,vlasništvo,5
882,Zubin Potok,5
883,očuvati,5
884,odložen,5
885,godišnjica,5
886,poslednji,5
887,Vašington,5
888,konstituisan,5
889,a Vučić,5
890,pozitivan,5
891,volja,5
892,panel,5
893,Antonijević,5
894,set,5
895,decembru,5
896,predložen,5
897,okrivljen,5
898,odavanje,5
899,stradal,5
900,partija,5
901,obračun,5
902,pomoći,5
903,Đilas,5
904,municija,5
905,sektor,5
906,energija,5
907,odobriti,5
908,generalnoj,5
909,prethodan,5
910,SSP,5
911,zahtevati,5
912,Osmani,5
913,insistirati,5
914,kupovina,5
915,teški,5
916,Macut Srbija,5
917,Milomir Jaćimović,5
918,rekonstrukcija,5
919,preduzeće,5
920,namera,5
921,Pariz,5
922,vojn,5
923,prepreka,5
924,ispitan,5
925,Aleksić,5
926,izložba,5
927,Ukrajina,5
928,unaprediti,5
929,mišljenje,5
930,međusoban,5
931,spisak,5
932,odnositi,5
933,članica,5
934,želja,5
935,misliti,5
936,pojaviti,5
937,železničkoj,5
938,bivši,5
939,Niša,5
940,uspeti,5
941,Glišić,5
942,Petković Kurti,5
943,Srbin Vučić,5
944,beogradski,5
945,pretres,5
946,30,5
947,Sorensen,5
948,emisija,5
949,administracija,5
950,kršenje,5
951,videti,5
952,novčan,5
953,Mojsilović,5
954,komandant,5
955,pravilo,5
956,akreditiv,5
957,Kragujevac,5
958,saučešće,5
959,čelo,5
960,Đurić Srbija,5
961,zarada,5
962,rukovodstvo,5
963,lokacija,5
964,meta,5
965,nijedan,5
966,Srbija SAD,5
967,jesen,5
968,pustiti,5
969,viši,5
970,upala,5
971,obezbeđenje,5
972,star,5
973,navoditi,5
974,špijunaža,5
975,negirati,5
976,Elek,5
977,sumnja,5
978,ratan,5
979,Švajcarska,5
980,promena,5
981,rušiti,5
982,pisati,5
983,institut,5
984,aktuelni,5
985,stambeni,5
986,osuđujemo,5
987,Merdar,5
988,eskalacija,5
989,povlačiti,5
990,srednji,5
991,državljan,5
992,auto,5
993,2025,5
994,uhapsiti,5
995,dopuna,5
996,prijatelj,5
997,peticija,5
998,stajati,5
999,potpis,5
1000,saslušanje,5
1001,dozvoliti,5
1002,prigovor,5
1003,odložiti,5
1004,siguran,5
1005,nastavlja,5
1006,kredit,5
1007,miting,5
1008,maturant,5
1009,zakazati,5
1010,niški,5
1011,mladić,5
1012,kazati,5
1013,čuvati,5
1014,gasni,5
1015,državnost,5
1016,sretenje,5
1017,MOL -,4
1018,Sijarto RTS,4
1019,primenjivati,4
1020,postaviti,4
1021,zahvaliti,4
1022,dom,4
1023,institucionalan,4
1024,suverenitet,4
1025,ukinut,4
1026,nedelj,4
1027,savski,4
1028,model,4
1029,konsenzus,4
1030,prekinuto,4
1031,položiti,4
1032,diplomatski,4
1033,preuzimanje,4
1034,u Vučić,4
1035,ulagati,4
1036,Đurić RTS,4
1037,slovački,4
1038,strah,4
1039,uhapšean,4
1040,stizati,4
1041,svečan,4
1042,birati,4
1043,ravnopravnost,4
1044,proglašen,4
1045,tim,4
1046,račun,4
1047,četvrtkom,4
1048,realan,4
1049,globalan,4
1050,ponovljen,4
1051,polemika,4
1052,Fon Lajen,4
1053,kandidatura,4
1054,banjska,4
1055,vanredni,4
1056,diskusija,4
1057,odgovor,4
1058,groblje,4
1059,tačak,4
1060,isticati,4
1061,ozbiljan,4
1062,platforma,4
1063,ilegalan,4
1064,migracija,4
1065,budući,4
1066,sudski,4
1067,Simić,4
1068,nezakonit,4
1069,potpun,4
1070,učiniti,4
1071,nedopustiv,4
1072,vojnik,4
1073,razvijati,4
1074,Vučić Bocan,4
1075,pun,4
1076,nacrt,4
1077,kulturan,4
1078,poverenik,4
1079,kritika,4
1080,jačati,4
1081,suditi,4
1082,okvir,4
1083,OVK,4
1084,težak,4
1085,akademija,4
1086,nadstrešnice,4
1087,vojsca,4
1088,Kovač,4
1089,sečnja,4
1090,kriminal,4
1091,prirediti,4
1092,zakonski,4
1093,Đakovica,4
1094,visokoškolski,4
1095,Orban,4
1096,normalizacija,4
1097,Interpol,4
1098,nećemo,4
1099,tehnički,4
1100,reagivati,4
1101,najvažnija,4
1102,padati,4
1103,geopolitički,4
1104,servis,4
1105,strategija,4
1106,Vučić Dodik,4
1107,17,4
1108,čuti,4
1109,delovanje,4
1110,finansija,4
1111,SPS -,4
1112,upozoravati,4
1113,okolnost,4
1114,pruga,4
1115,povodom,4
1116,autobus,4
1117,sin,4
1118,Dijan Hrka,4
1119,Hrka,4
1120,srpsko,4
1121,stručnjak,4
1122,usvajanje,4
1123,zelenski,4
1124,zabrinut,4
1125,zdravlje,4
1126,moliti,4
1127,Klokot,4
1128,Crna Gora,4
1129,rizik,4
1130,dubok,4
1131,miran,4
1132,krenuti,4
1133,saopštenje,4
1134,svedoc,4
1135,peti,4
1136,skupov,4
1137,zahvalnost,4
1138,jesenji,4
1139,stavov,4
1140,pozivam,4
1141,promen,4
1142,projekat,4
1143,MMF -,4
1144,obeležavanje,4
1145,naći,4
1146,3,4
1147,maratonac,4
1148,opcija,4
1149,stub,4
1150,selo,4
1151,Dačić RTS,4
1152,dogoditi,4
1153,otpor,4
1154,ekonomija,4
1155,Kopman,4
1156,rezolucija,4
1157,ispitati,4
1158,obraćanje,4
1159,teroristički,4
1160,porodika,4
1161,smrt,4
1162,vladajući,4
1163,opstrukcija,4
1164,jedinstven,4
1165,Srbija Kina,4
1166,osumnjičen,4
1167,devojčica,4
1168,deliti,4
1169,kurtijevog,4
1170,kriv,4
1171,oštar,4
1172,tribina,4
1173,objekt,4
1174,Izrael,4
1175,pokušavati,4
1176,večer,4
1177,izraelski,4
1178,napor,4
1179,direktan,4
1180,sledeće,4
1181,dobijati,4
1182,uvažiti,4
1183,Zaječar Vučić,4
1184,Tamara Vučić,4
1185,univerziteta,4
1186,takozvani,4
1187,zvaničnic,4
1188,izvršenje,4
1189,napadač,4
1190,Lončar,4
1191,ugrožavati,4
1192,pritvoren,4
1193,Metohija,4
1194,OEBS -,4
1195,septembar,4
1196,brinuti,4
1197,normalan,4
1198,bezbedan,4
1199,upasti,4
1200,odličan,4
1201,dalji,4
1202,brutalan,4
1203,nasilnik,4
1204,masovan,4
1205,stava,4
1206,Vučić Putin,4
1207,dečak,4
1208,kordon,4
1209,nameravati,4
1210,Srbin Đurić,4
1211,rezervan,4
1212,čin,4
1213,Kvinta,4
1214,nadležan,4
1215,večeras,4
1216,dnevnik,4
1217,odbijen,4
1218,započeti,4
1219,prekid,4
1220,blokader,4
1221,povređen,4
1222,menjati,4
1223,sila,4
1224,zastrašivanje,4
1225,pravosuđe,4
1226,šapac,4
1227,konstitutivan,4
1228,analiza,4
1229,koškanje,4
1230,manastir,4
1231,uređaj,4
1232,gradske,4
1233,provokacija,4
1234,zatvarati,4
1235,blokade,4
1236,Trampu,4
1237,koridor,4
1238,važnost,4
1239,osnivanje,4
1240,banjsk,4
1241,uklonjiti,4
1242,pomirenje,4
1243,proglašenje,4
1244,deonica,4
1245,igra,4
1246,Kurtija,4
1247,dešavanje,4
1248,usvojen,4
1249,dvodnevan,4
1250,Milorad Đoković,4
1251,odbijati,4
1252,uvid,4
1253,UB,4
1254,održavanje,4
1255,Mart Kos,4
1256,Trampa,4
1257,uručiti,4
1258,majka,4
1259,Časlava Jolić,4
1260,akter,4
1261,jednostran,4
1262,Moskva,4
1263,uđeti,4
1264,Luksemburg,4
1265,aerodrom,4
1266,zapadn,4
1267,apriti,4
1268,konsultacija,4
1269,potvrđen,4
1270,UN Vučić,4
1271,dragiši,4
1272,dopun,4
1273,čestitka,4
1274,saslušan,4
1275,specijalan,4
1276,Aleksandar Vučić,4
1277,isplata,4
1278,ekvatorijalne,4
1279,Đurić sorensen,3
1280,Gogić,3
1281,Oliver Ivanović,3
1282,pomen,3
1283,rafinerija,3
1284,Srbima,3
1285,taktika,3
1286,uvođenje,3
1287,raspisivanje,3
1288,MSP Srbija,3
1289,Somalija,3
1290,dronov,3
1291,umet,3
1292,Vučić Orban,3
1293,jak,3
1294,poručovati,3
1295,pročitati,3
1296,Rusija Srbija,3
1297,antisrpski,3
1298,leđa,3
1299,računati,3
1300,koordinacija,3
1301,kontinuitet,3
1302,trojica,3
1303,narodn,3
1304,zakletva,3
1305,stopa,3
1306,pozorište,3
1307,31,3
1308,izađu,3
1309,beogradsak,3
1310,obećanje,3
1311,kupovati,3
1312,restriktivan,3
1313,pravosudni,3
1314,finansirati,3
1315,DUNP -,3
1316,zadržavanje,3
1317,palata,3
1318,nasilan,3
1319,Mićin,3
1320,trg,3
1321,baviti,3
1322,izneti,3
1323,podnesu,3
1324,loš,3
1325,vežba,3
1326,debata,3
1327,predsedavanje,3
1328,suveren,3
1329,zvaničan,3
1330,Ibra,3
1331,ZLF,3
1332,ponavljati,3
1333,pravoslavni,3
1334,izgubiti,3
1335,radujem,3
1336,građevinski,3
1337,zemljište,3
1338,Novi,3
1339,akreditivan,3
1340,novoimenovan,3
1341,Nikolić,3
1342,ugroziti,3
1343,Tepić,3
1344,ljudski,3
1345,overiti,3
1346,odgovoran,3
1347,podatak,3
1348,obnoviti,3
1349,test,3
1350,uložiti,3
1351,scenarij,3
1352,bićemo,3
1353,rezerva,3
1354,obeležiti,3
1355,KFOR,3
1356,signal,3
1357,ponavljanje,3
1358,bratski,3
1359,francuski,3
1360,dozvola,3
1361,generalštab,3
1362,memorandum,3
1363,nastojati,3
1364,okončanje,3
1365,vrhovni,3
1366,faza,3
1367,neprimeren,3
1368,prijaviti,3
1369,simbol,3
1370,Italija,3
1371,veto,3
1372,tišina,3
1373,britanski,3
1374,razum,3
1375,MUP,3
1376,ostaviti,3
1377,bitka,3
1378,nestali,3
1379,decenija,3
1380,mitropolit,3
1381,tok,3
1382,izjasniti,3
1383,Amerikanac,3
1384,detalj,3
1385,informacija,3
1386,televizija,3
1387,osećati,3
1388,nositi,3
1389,neistina,3
1390,radne,3
1391,izrada,3
1392,raspisati,3
1393,Rusin,3
1394,funkcioner,3
1395,zamah,3
1396,ekološki,3
1397,Jaćimović,3
1398,reformski,3
1399,izdavanje,3
1400,članovi,3
1401,mirn,3
1402,omogućiti,3
1403,priveti,3
1404,pucati,3
1405,baza,3
1406,infuzija,3
1407,srce,3
1408,konzulat,3
1409,vraćanje,3
1410,načelo,3
1411,Vučić Makron,3
1412,UNMIK -,3
1413,pozdraviti,3
1414,poručiti,3
1415,autoprevoznik,3
1416,Dijani Hrki,3
1417,reči,3
1418,poštovati,3
1419,uglješa Mrdić,3
1420,sred,3
1421,ubedljiv,3
1422,ukazati,3
1423,osmi,3
1424,Prizren,3
1425,komentar,3
1426,sedmi,3
1427,usvojene,3
1428,proizvodnja,3
1429,tehnologija,3
1430,EK,3
1431,osnova,3
1432,sastajati,3
1433,godišnji,3
1434,šesti,3
1435,upućivati,3
1436,pogled,3
1437,briselski,3
1438,Srbija MSP,3
1439,pristupiti,3
1440,metohija,3
1441,gornji,3
1442,odati,3
1443,pešačenje,3
1444,istinski,3
1445,Srbija Dačić,3
1446,odbraniti,3
1447,mirovni,3
1448,senat,3
1449,Si,3
1450,novog,3
1451,kapacitet,3
1452,šapc,3
1453,Čačka,3
1454,ujediniti,3
1455,privremean,3
1456,Valjev,3
1457,ograničavanje,3
1458,moderan,3
1459,odlučan,3
1460,transparentnost,3
1461,nan,3
1462,službenik,3
1463,pristupanje,3
1464,dvorište,3
1465,Srbin Priština,3
1466,vakcina,3
1467,gimnazija,3
1468,tv,3
1469,prebrojan,3
1470,Vučić Beograd,3
1471,rebalans,3
1472,zainteresovan,3
1473,svrha,3
1474,finansijski,3
1475,otmica,3
1476,Zvečan,3
1477,gubitnik,3
1478,čestitke,3
1479,završan,3
1480,konvencija,3
1481,ovde,3
1482,zakonik,3
1483,Alon Ohel,3
1484,Priština Priština,3
1485,povelja,3
1486,boja,3
1487,teren,3
1488,vek,3
1489,razgovaraćeti,3
1490,avgust,3
1491,Beograd Novi,3
1492,septembru,3
1493,skretanje,3
1494,kontakt,3
1495,Marković,3
1496,21,3
1497,redovan,3
1498,vrata,3
1499,razmotriti,3
1500,ambasadork,3
1501,u Srbija,3
1502,mešanje,3
1503,ministarski,3
1504,izaći,3
1505,Njujork,3
1506,uvoditi,3
1507,obeležen,3
1508,UN Srbija,3
1509,nezavisan,3
1510,podan,3
1511,Baku,3
1512,počinje,3
1513,majica,3
1514,načelnik,3
1515,moć,3
1516,Novi Beograd,3
1517,produbljivanje,3
1518,dođu,3
1519,otac,3
1520,Vučić Li,3
1521,ming,3
1522,Peking,3
1523,Si Đinping,3
1524,braniti,3
1525,postupanje,3
1526,uhapšenom,3
