,headline,url,datePublished,Related,doc_id,language,events
10,Odbor za kulturu i informisanje pokrenuo postupak za izbor četiri člana Saveta REM-a,https://www.rts.rs/vesti/politika/5857856/odbor-za-kulturu-i-informisanje-pokrenuo-postupak-za-izbor-cetiri-clana-saveta-rem-a.html,"ponedeljak, 29. dec 2025, 11:33 -> 14:57",vezano za proteste,10,sr,[]
11,"Mijačić: Kurtijeva pobeda Srbima ne znači ništa dobro, neće biti iznenađenja u njegovoj politici",https://www.rts.rs/vesti/politika/5857717/mijacic-kurtijeva-pobeda-srbima-ne-znaci-nista-dobro-nece-biti-iznenadjenja-u-njegovoj-politici.html,"ponedeljak, 29. dec 2025, 11:15 -> 13:46",vezano za proteste,11,sr,[]
12,Panović: Prolongiranje izbora bitna taktika; Vuletić: Duži rok više znači studentima,https://www.rts.rs/vesti/politika/5857697/panovic-prolongiranje-izbora-bitna-taktika-vuletic-duzi-rok-vise-znaci-studentima.html,"ponedeljak, 29. dec 2025, 09:00 -> 12:31",vezano za proteste,12,sr,[]
13,"Maksimalan učinak Srpske liste na izborima na KiM, Samoopredeljenje dobilo sedam mandata više",https://www.rts.rs/vesti/politika/5857707/maksimalan-ucinak-srpske-liste-na-izborima-na-kim-samoopredeljenje-dobilo-sedam-mandata-vise.html,"ponedeljak, 29. dec 2025, 08:20 -> 13:10",vezano za proteste,13,sr,"[{'event_type': 'election', 'trigger': 'izborima', 'locations': ['KiM'], 'actors': ['Srpska lista', 'Samoopredeljenje'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Samoopredeljenje dobilo više mandata.'}]"
14,"Uklonjeni šatori, postavljen ",https://www.rts.rs/vesti/politika/5857686/satori-bozicno-seoce-skupstina.html,"ponedeljak, 29. dec 2025, 05:59 -> 20:03",vezano za proteste,14,und,[]
15,Vučić: Važno da pokažemo da se Beograd i Srbija vraćaju u normalu; uskoro uvođenje vojnog roka,https://www.rts.rs/vesti/politika/5857548/vucic-vazno-da-pokazemo-da-se-beograd-i-srbija-vracaju-u-normalu-uskoro-uvodjenje-vojnog-roka.html,"nedelja, 28. dec 2025, 21:37 -> 22:52",vezano za proteste,15,sr,[]
16,"Vučić se zahvalio okupljenima ispred Doma Narodne skupštine, uklanjaju se šatori",https://www.rts.rs/vesti/politika/5857494/vucic-se-zahvalio-okupljenima-ispred-doma-narodne-skupstine-uklanjaju-se-satori.html,"nedelja, 28. dec 2025, 19:45 -> 05:56",vezano za proteste,16,sr,[]
17,Srpska lista: Osvojili smo svih 10 mandata; Kurti proglasio pobedu na izborima na KiM,https://www.rts.rs/vesti/politika/5857464/kosovo-i-metohija-izbori-rezultati.html,"nedelja, 28. dec 2025, 19:00 -> 23:10",vezano za proteste,17,sr,"[{'event_type': 'election', 'trigger': 'izborima', 'locations': ['KiM'], 'actors': ['Srpska lista', 'Kurti'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Srpska lista osvojila svih 10 mandata.'}]"
18,Studenti pozvali građane da potpišu zahtev za raspisivanje vanrednih izbora,https://www.rts.rs/vesti/politika/5857394/studenti-pozvali-gradjane-da-potpisu-zahtev-za-raspisivanje-vanrednih-izbora.html,"nedelja, 28. dec 2025, 10:32 -> 21:41",vezano za proteste,18,sr,"[{'event_type': 'protest', 'trigger': 'protest', 'locations': [], 'actors': ['studenti', 'građani'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Studenti pozivaju građane na potpisivanje zahteva za vanredne izbore.'}]"
19,Vanredni parlamentarni izbori na KiM – kraj ili produžetak višemesečne institucionalne blokade,https://www.rts.rs/vesti/politika/5857102/kosovo-metohija-izbori-parlamentarni-srpska-lista-aljbin-kurti-srpska-lista.html,"nedelja, 28. dec 2025, 05:20 -> 12:23",vezano za proteste,19,sr,"[{'event_type': 'election', 'trigger': 'izbori', 'locations': ['KiM'], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Govori se o kraju institucione blokade.'}]"
20,Godina na KiM koju su pojeli izbori – novi izlazak na birališta ne obećava rešenje krize,https://www.rts.rs/vesti/politika/5857098/godina-na-kim-koju-su-pojeli-izbori--novi-izlazak-na-biralista-ne-obecava-resenje-krize.html,"subota, 27. dec 2025, 20:00 -> 21:55",vezano za proteste,20,sr,[]
21,MSP: Srbija izražava podršku teritorijalnom integritetu i suverenitetu Somalije,https://www.rts.rs/vesti/politika/5856999/somalija-somalilend-ministarstvo-spoljnih-poslova-saopstenje.html,"subota, 27. dec 2025, 18:14 -> 18:24",vezano za proteste,21,sr,[]
22,"Sastanak Macuta sa rektorima, prorektorima i dekanima fakulteta o primeni sistema SPIRI",https://www.rts.rs/vesti/politika/5856961/macut-spiri-sastanak-rektor-prorektor-dekan-fakultet-sistem.html,"subota, 27. dec 2025, 15:52 -> 16:10",vezano za proteste,22,sr,[]
23,Vučić: Sutra uveče počinje uklanjanje šatora ispred Narodne skupštine,https://www.rts.rs/vesti/politika/5856880/vucic-sutra-uvece-pocinje-uklanjanje-satora-ispred-narodne-skupstine.html,"subota, 27. dec 2025, 13:18 -> 15:05",vezano za proteste,23,sr,[]
24,Vučić: Krajem marta ili početkom aprila otvaramo prvu veliku fabriku dronova u Srbiji,https://www.rts.rs/vesti/politika/5856853/vucic-krajem-marta-ili-pocetkom-aprila-otvaramo-prvu-veliku-fabriku-dronova-u-srbiji.html,"subota, 27. dec 2025, 11:48 -> 14:12",vezano za proteste,24,sr,[]
25, Vučić sa Bocan-Harčenkom o energetskoj bezbednosti: Srbija će umeti da zaštiti svoje interese,https://www.rts.rs/vesti/politika/5856847/aleksandar-vucic-aleksandr-bocan-harcenko.html,"subota, 27. dec 2025, 11:31 -> 12:17",vezano za proteste,25,sr,[]
26,Nova zgrada Generalštaba na Banjici biće izgrađena za tri godine,https://www.rts.rs/vesti/politika/5856851/vucic-objekat-generalstab-vojska-banjica.html,"subota, 27. dec 2025, 11:31 -> 18:48",vezano za proteste,26,sr,[]
27,"Vučić sa Orbanom o energetskoj bezbednosti, prioritet stabilno snabdevanje",https://www.rts.rs/vesti/politika/5856843/vucic-orban-srbija-madjarska-saradnja.html,"subota, 27. dec 2025, 11:19 -> 12:10",vezano za proteste,27,sr,[]
28,"Vučić: Samo jaka vojska garant mira, nastavićemo da ulažemo u bezbednosne snage Srbije",https://www.rts.rs/vesti/politika/5856826/aleksandar-vucic-vojska-srbije-bezbezdnosne-snage.html,"subota, 27. dec 2025, 09:21 -> 09:27",vezano za proteste,28,sr,[]
29,Dalibor Jevtić:  Jedinstvo Srba ključno da svih 10 mandata pripadne srpskom narodu,https://www.rts.rs/vesti/politika/5856779/srpska-lista-izbori-na-kim-dalibor-jevtic.html,"subota, 27. dec 2025, 08:20 -> 08:22",vezano za proteste,29,sr,[]
30,Šta poručuju predstavnici Srba uoči izbora na Kosovu i Metohiji,https://www.rts.rs/vesti/politika/5856695/kosovo-izbori-srpska-lista.html,"petak, 26. dec 2025, 20:00 -> 20:15",vezano za proteste,30,und,[]
31,Marinika Tepić pročitala ,https://www.rts.rs/vesti/politika/5856611/marinika-tepic-vlada-mandic-optuznica.html,"petak, 26. dec 2025, 15:31 -> 16:04",vezano za proteste,31,und,[]
32,Ukinut kućni pritvor studentu Bogdanu Jovičiću,https://www.rts.rs/vesti/politika/5856572/ukinut-kucni-pritvor-studentu-bogdanu-jovicicu.html,"petak, 26. dec 2025, 14:49 -> 18:20",vezano za proteste,32,sr,[]
33,Slađan Trajković iz Kosovske Mitrovice prvostepeno osuđen na 10 godina zatvora,https://www.rts.rs/vesti/politika/5856262/sladjan-trajkovic-iz-kosovske-mitrovice-prvostepeno-osudjen-na-10-godina-zatvora.html,"petak, 26. dec 2025, 10:11 -> 19:46",nije vezano za proteste,33,sr,"[{'event_type': 'investigation_charges_trial', 'trigger': 'osuđen', 'locations': ['Kosovska Mitrovica'], 'actors': ['Slađan Trajković'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Prvostepena presuda od 10 godina zatvora.'}]"
34,Bocan-Harčenko: Za NIS se traži rešenje koje će biti u duhu prijateljskih odnosa Rusije i Srbije,https://www.rts.rs/vesti/politika/5856240/bocan-harcenko-za-nis-se-trazi-resenje-koje-ce-biti-u-duhu-prijateljskih-odnosa-rusije-i-srbije.html,"petak, 26. dec 2025, 09:15 -> 19:46",vezano za proteste,34,sr,[]
35,Petković: Pobeda Srpske liste u nedelju je brana Kurtijevom teroru i antisrpskoj politici,https://www.rts.rs/vesti/politika/5856212/petkovic-pobeda-srpske-liste-u-nedelju-je-brana-kurtijevom-teroru-i-antisrpskoj-politici.html,"petak, 26. dec 2025, 07:59 -> 09:02",vezano za proteste,35,sr,[]
36,"Radaković: Ukidanjem sankcija usred kampanje, EU dala vetar u leđa Kurtiju koji računa i na dijasporu",https://www.rts.rs/vesti/politika/5856197/radakovic-ukidanjem-sankcija-usred-kampanje-eu-dala-vetar-u-ledja-kurtiju-koji-racuna-i-na-dijasporu.html,"petak, 26. dec 2025, 07:03 -> 08:30",vezano za proteste,36,sr,[]
37,Petković s predstavnicima Srpske liste: Srbi će uvek imati svoju državu,https://www.rts.rs/vesti/politika/5856189/petkovic-srpska-lista-izbori.html,"petak, 26. dec 2025, 06:39 -> 08:06",vezano za proteste,37,sr,[]
38,Dogovor pet opozicionih stranaka o koordinaciji aktivnosti ka EU,https://www.rts.rs/vesti/politika/5856668/dogovor-pet-opozicionih-stranaka-o-koordinaciji-aktivnosti-ka-eu.html,"četvrtak, 25. dec 2025, 21:31 -> 17:38",vezano za proteste,38,sr,[]
39,OKO: Vlast i opozicija pred izbornom godinom – Pilja: Izbori krajem 2026. godine; Jovanović: Samo ako budu demokratski i slobodni,https://www.rts.rs/vesti/politika/5856059/milos-jovanovic-biljana-pantic-pilja-izbori-skupstina.html,"četvrtak, 25. dec 2025, 19:30 -> 20:28",vezano za proteste,39,sr,[]
40,Vučić: Novi savski most biće otvoren do kraja marta 2027.,https://www.rts.rs/vesti/politika/5855460/vucic-novi-savski-most-beograd-voda-stari-savski-most-.html,"četvrtak, 25. dec 2025, 11:25 -> 20:02",vezano za proteste,40,sr,[]
41,"Američka politika i Zapadni Balkan – kontinuitet, novi modeli i sužen prostor za balansiranje",https://www.rts.rs/vesti/politika/5855372/americka-politika-i-zapadni-balkan--kontinuitet-novi-modeli-i-suzen-prostor-za-balansiranje.html,"četvrtak, 25. dec 2025, 10:50 -> 11:37",vezano za proteste,41,und,[]
42,"Starović: Zastoj oko klastera 3 zbog Brisela, bez društvenog konsenzusa o evropskom putu Srbije",https://www.rts.rs/vesti/politika/5855281/starovic-evropa-unija-eu-evrointegracije-dijalog-beograd-pristina-brisel-klaster-tri.html,"četvrtak, 25. dec 2025, 09:30 -> 10:13",vezano za proteste,42,sr,[]
43,Potpisan Sporazum između Srbije i Japana o zaštiti ulaganja,https://www.rts.rs/vesti/politika/5854803/japan-srbija-ministarstvo-trgovine.html,"sreda, 24. dec 2025, 13:11 -> 14:21",vezano za proteste,43,sr,[]
44,Prekinuto suđenje trojici Srba koji se terete za eksploziju na kanalu Ibar–Lepenac,https://www.rts.rs/vesti/politika/5854629/prekinuto-sudjenje-trojici-srba-koji-se-terete-za-eksploziju-na-kanalu-ibarlepenac.html,"sreda, 24. dec 2025, 12:00 -> 17:29",vezano za proteste,44,sr,"[{'event_type': 'investigation_charges_trial', 'trigger': 'suđenje', 'locations': [], 'actors': [], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Suđenje za eksploziju na kanalu Ibar–Lepenac prekinuto.'}]"
45,U Narodnoj skupštini novoizabrane sudije Ustavnog suda položile zakletvu,https://www.rts.rs/vesti/politika/5854610/narodna-skupstina-sudije-ustavni-sud.html,"sreda, 24. dec 2025, 11:50 -> 12:13",vezano za proteste,45,sr,[]
46,Otvaranje dela ,https://www.rts.rs/vesti/politika/5854290/moravski-koridor-deonica-auto-put-vucic-vrnjacka-banja-kraljevo.html,"sreda, 24. dec 2025, 11:05 -> 18:08",nije vezano za proteste,46,und,[]
47,"Vučić otvorio Ambasadorsku konferenciju: Pojačaćemo diplomatsko prisustvo u Africi i Aziji, tamo je najveća stopa rasta",https://www.rts.rs/vesti/politika/5854287/ambasadorska-konferencija-srbija-vucic.html,"sreda, 24. dec 2025, 08:35 -> 19:44",vezano za proteste,47,sr,"[{'event_type': 'government_response_policy', 'trigger': 'otvorio', 'locations': [], 'actors': ['Vučić'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Otvaranje Ambasadorske konferencije.'}]"
48,JUKOM objavio preliminarne rezultate izbora članova Visokog saveta tužilaštva,https://www.rts.rs/vesti/drustvo/5854209/jukom-objavio-preliminarne-rezultate-izbora-clanova-visokog-saveta-tuzilastva.html,"utorak, 23. dec 2025, 21:30 -> 22:11",vezano za proteste,48,sr,[]
49,Trodnevni štrajk dela zaposlenih u Narodnom pozorištu,https://www.rts.rs/vesti/politika/5854236/trodnevni-strajk-dela-zaposlenih-u-narodnom-pozoristu.html,"utorak, 23. dec 2025, 21:24 -> 21:34",vezano za proteste,49,sr,"[{'event_type': 'strike_boycott', 'trigger': 'štrajk', 'locations': [], 'actors': ['dela zaposlenih u Narodnom pozorištu'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Trodnevni štrajk.'}]"
50,"Nikodijević: Neće biti privatizacije Apoteke Beograd, potreban partner za održivo rešenje",https://www.rts.rs/vesti/politika/5854091/nikodijevic-nece-biti-privatizacije-apoteke-beograd-potreban-partner-za-odrzivo-resenje.html,"utorak, 23. dec 2025, 18:30 -> 21:16",vezano za proteste,50,sr,[]
51,Skupštinski odbor za kulturu utvrdio listu kandidata za člana Saveta REM-a iz nacionalnih manjina,https://www.rts.rs/vesti/politika/5854078/skupstinski-odbor-za-kulturu-utvrdio-listu-kandidata-za-clana-saveta-rem-a-iz-nacionalnih-manjina.html,"utorak, 23. dec 2025, 17:16 -> 19:54",vezano za proteste,51,sr,[]
52,Predstavnici Srpske liste sa otpravnicom poslova američke ambasade ,https://www.rts.rs/vesti/politika/5853894/srpska-lista-otpravnica-poslova-amerika.html,"utorak, 23. dec 2025, 14:12 -> 14:24",vezano za proteste,52,und,[]
53,Pantić Pilja: Zahtev za otimanje NIS-a je politički licemeran,https://www.rts.rs/vesti/politika/5853823/pantic-pilja-nis-djilas-.html,"utorak, 23. dec 2025, 13:47 -> 20:08",vezano za proteste,53,sr,[]
54,Đilas: SSP i SRCE podneli predlog zakona o preuzimanju NIS-a,https://www.rts.rs/vesti/politika/5853775/djilas-ssp-i-srce-podneli-predlog-zakona-o-preuzimanju-nis-a.html,"utorak, 23. dec 2025, 12:59 -> 20:00",vezano za proteste,54,sr,[]
55,Dragutin Nasković iz okoline Gnjilana odbacio optužbe za ratne zločine,https://www.rts.rs/vesti/politika/5853657/dragutin-naskovic-iz-okoline-gnjilana-odbacio-optuzbe-za-ratne-zlocine.html,"utorak, 23. dec 2025, 12:12 -> 12:15",nije vezano za proteste,55,sr,[]
56,Vučić: Imamo dogovor sa Rusijom o produženju snabdevanja gasom do 31. marta; Gasprom pregovara sa MOL-om o prodaji udela u NIS-u ,https://www.rts.rs/vesti/politika/5853652/vucic-gas-produzenje-nis-mol-nafta.html,"utorak, 23. dec 2025, 11:43 -> 19:34",vezano za proteste,56,sr,[]
57,Vučić: Država će nastaviti da povećava plate u zdravstvu i da puno ulaže ,https://www.rts.rs/vesti/politika/5853601/vucic-drzava-ce-nastaviti-da-povecava-plate-u-zdravstvu-i-da-puno-ulaze-.html,"utorak, 23. dec 2025, 11:09 -> 18:19",vezano za proteste,57,sr,[]
58,Vučić primio u oproštajnu posetu ambasadore Ukrajine i Japana,https://www.rts.rs/vesti/politika/5853586/ambasadori-japan-ukrajina-vucic.html,"utorak, 23. dec 2025, 10:56 -> 11:24",vezano za proteste,58,sr,[]
59,Terzić za RTS: Veoma važno da interno raseljeni sa KiM izađu na izbore 28. decembra,https://www.rts.rs/vesti/politika/5853575/kosovo-izbori-srpska-lista-terzic.html,"utorak, 23. dec 2025, 09:51 -> 10:27",vezano za proteste,59,sr,[]
60,Đurić za RTS: Očekujem da epizoda u vezi sa NIS-om bude uspešno rešena u narednim nedeljama,https://www.rts.rs/vesti/politika/5853537/djuric-za-rts-ocekujem-da-epizoda-u-vezi-sa-nis-om-bude-uspesno-resena-u-narednim-nedeljama.html,"utorak, 23. dec 2025, 08:30 -> 09:21",vezano za proteste,60,sr,[]
61,Skupština usvojila zaključke povodom izveštaja EK o Srbiji i više odluka,https://www.rts.rs/vesti/politika/5853515/skupstina-srbije-sednica-izvestaj-ek.html,"utorak, 23. dec 2025, 06:57 -> 18:31",vezano za proteste,61,sr,[]
62,Vidosavu Mitroviću iz Leška određen jednomesečni pritvor,https://www.rts.rs/vesti/politika/5853441/srbin-kosovo-lesak-pritvor.html,"ponedeljak, 22. dec 2025, 20:48 -> 21:00",vezano za proteste,62,sr,"[{'event_type': 'arrest', 'trigger': 'pritvor', 'locations': ['Lešak'], 'actors': ['Vidosav Mitrović'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Jednomesečni pritvor određen.'}]"
63,Oko: Američka konjica u Hagu – spasavanje Hašima Tačija,https://www.rts.rs/vesti/politika/5853379/sudjenje-hasimu-taciju-svedocenje-veslija-klarka.html,"ponedeljak, 22. dec 2025, 20:00 -> 21:05",vezano za proteste,63,und,[]
64,Vučić: Nadam se da ćemo u narednim nedeljama rešiti situaciju sa NIS-om,https://www.rts.rs/vesti/politika/5853389/aleksandar-vucic-penzije.html,"ponedeljak, 22. dec 2025, 18:33 -> 21:36",vezano za proteste,64,sr,[]
65,"Beogradski odbornici usvojili budžet za 2026. godinu, ispred gradske skupštine protest radnika ",https://www.rts.rs/vesti/politika/5853373/beogradski-odbornici-usvojili-budzet-za-2026-godinu-ispred-gradske-skupstine-protest-radnika-apoteka-beograd.html,"ponedeljak, 22. dec 2025, 18:30 -> 01:51",vezano za proteste,65,sr,"[{'event_type': 'protest', 'trigger': 'protest', 'locations': ['Beograd'], 'actors': ['radnici'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Protest ispred gradske skupštine.'}]"
66,Vučić na otvaranju sportske hale u Putincima: Ispunili smo obećanje,https://www.rts.rs/vesti/politika/5853382/sportska-hala-putinci-vucic-otvaranje.html,"ponedeljak, 22. dec 2025, 18:15 -> 19:55",nije vezano za proteste,66,sr,[]
67,Vlasti u Prištini kupuju nemački protivtenkovski sistem,https://www.rts.rs/vesti/politika/5853305/pristina-oruzje-bezbednosne-snage.html,"ponedeljak, 22. dec 2025, 15:18 -> 15:47",vezano za proteste,67,sr,[]
68,Prvostepena presuda Slađanu Trajkoviću biće izrečena 26. decembra,https://www.rts.rs/vesti/politika/5853115/sladjan-trajkovic-sudjenje-kosovo-metohija-pristina.html,"ponedeljak, 22. dec 2025, 13:34 -> 15:22",vezano za proteste,68,sr,[]
69,Kalas: Srbija se delimično usaglasila sa restriktivnim merama Saveta EU,https://www.rts.rs/vesti/politika/5853047/kalas-srbija-se-delimicno-usaglasila-sa-restriktivnim-merama-saveta-eu.html,"ponedeljak, 22. dec 2025, 12:10 -> 16:51",vezano za proteste,69,sr,[]
70,Skupština grada Beograda o budžetu na narednu godinu,https://www.rts.rs/vesti/politika/5853036/skupstina-grada-beograda-o-budzetu-na-narednu-godinu.html,"ponedeljak, 22. dec 2025, 11:58 -> 17:56",vezano za proteste,70,sr,[]
71,Mrdić predao u skupštinsku proceduru predloge pet pravosudnih zakona,https://www.rts.rs/vesti/politika/5853034/mrdic-ugljesa-narodna-skupstina-tuzilastvo-zakoni-predlog.html,"ponedeljak, 22. dec 2025, 11:49 -> 12:04",vezano za proteste,71,sr,[]
72,Vučić sa Pelegrinijem: Srbija će finansirati izgradnju Slovačke kuće u Novom Sadu,https://www.rts.rs/vesti/politika/5853020/pelegrini-vucic-backi-petrovac.html,"ponedeljak, 22. dec 2025, 11:26 -> 19:46",vezano za proteste,72,sr,[]
73,"Gogić za RTS: Kurti računa na dijasporu, bez srpskih predstavnika nema ni vlade ni predsednika",https://www.rts.rs/vesti/politika/5852810/kosovo-metohija-izbori-pristina-ognjen-gogic.html,"ponedeljak, 22. dec 2025, 10:09 -> 14:11",vezano za proteste,73,sr,[]
74,Koliko košta proširenje EU na Zapadni Balkan – brojevi demantuju strahove,https://www.rts.rs/vesti/politika/5852811/koliko-kosta-prosirenje-eu-na-zapadni-balkan--brojevi-demantuju-strahove.html,"ponedeljak, 22. dec 2025, 08:02 -> 11:17",nije vezano za proteste,74,sr,[]
75,Premijer Macut sa Pelegrinijem o unapređenju saradnje,https://www.rts.rs/vesti/politika/5852658/macut-pelegrini-srbija-slovacka.html,"nedelja, 21. dec 2025, 19:40 -> 19:49",vezano za proteste,75,sr,[]
76,Gašić sa ministrom odbrane Slovačke Kalinakom,https://www.rts.rs/vesti/politika/5852652/gasic-slovacki-ministar-odbrane-kalinak.html,"nedelja, 21. dec 2025, 19:11 -> 19:20",vezano za proteste,76,sr,[]
77,Predstavnici Srpske liste posetili osmočlanu porodicu Jović u Ranilugu,https://www.rts.rs/vesti/politika/5852630/srpska-lista-ranilug-porodica-jovic.html,"nedelja, 21. dec 2025, 17:57 -> 19:32",vezano za proteste,77,sr,[]
78,"Vučić: Dogovoren nastavak vojno-tehničke i energetske saradnje sa Slovačkom, Pelegrini: Srbija je za Slovačku najbitniji privredni partner u regionu",https://www.rts.rs/vesti/politika/5852536/vucic-dogovoren-nastavak-vojno-tehnicke-i-energetske-saradnje-sa-slovackom-pelegrini-srbija-je-za-slovacku-najbitniji-privredni-partner-u-regionu.html,"nedelja, 21. dec 2025, 14:31 -> 17:48",vezano za proteste,78,sr,[]
79,Peter Pelegrini posetio slovački kontingent KFOR-a,https://www.rts.rs/vesti/politika/5852534/peter-pelegrini-posetio-slovacki-kontingent-kfor-a.html,"nedelja, 21. dec 2025, 14:14 -> 14:21",vezano za proteste,79,sr,[]
80,"Protest studenata u Novom Pazaru, traže uvođenje prinudne uprave na DUNP-u",https://www.rts.rs/vesti/politika/5852486/protest-novi-pazar-studenti.html,"nedelja, 21. dec 2025, 11:18 -> 18:59",vezano za proteste,80,sr,"[{'event_type': 'protest', 'trigger': 'Protest', 'locations': ['Novi Pazar'], 'actors': ['studenti'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Protest zbog upravljanja DUNP-om.'}]"
81,Srbinu uhapšenom u Lešku određeno zadržavanje od 48 sati,https://www.rts.rs/vesti/politika/5852483/kim-leska-hapsenje-vidosav-mitrovic.html,"nedelja, 21. dec 2025, 10:27 -> 12:27",nije vezano za proteste,81,sr,"[{'event_type': 'arrest', 'trigger': 'uhapšen', 'locations': ['Lešak'], 'actors': ['Srbinu'], 'time_mentions': [], 'confidence': 0.9, 'notes': 'Zadržavanje od 48 sati.'}]"
82,"Predsednik Slovačke Peter Pelegrini stiže u Beograd, svečani doček ispred Palate ",https://www.rts.rs/vesti/politika/5852482/predsednik-slovacke-peter-pelegrini-stize-u-beograd-svecani-docek-ispred-palate-srbija-.html,"nedelja, 21. dec 2025, 10:26 -> 10:42",vezano za proteste,82,sr,[]
83,Kancelarija za KiM o hapšenju Srbina u Lešku: Kurti nastavio nasilnu predizbornu kampanju,https://www.rts.rs/vesti/politika/5852348/kancelarija-za-kim-o-hapsenju-srbina-u-lesku-kurti-nastavio-nasilnu-predizbornu-kampanju.html,"subota, 20. dec 2025, 21:42 -> 22:21",vezano za proteste,83,sr,[]
84,Vučić o energetskoj stabilnosti: Korak smo bliže rešenju izuzetno komplikovane situacije,https://www.rts.rs/vesti/politika/5852106/vucic-o-energetskoj-stabilnosti-korak-smo-blize-resenju-izuzetno-komplikovane-situacije.html,"subota, 20. dec 2025, 13:27 -> 13:51",vezano za proteste,84,sr,[]
85,"Mićin: Uništen vozić na Trgu slobode, ne pristajemo na nasilje i vandalizam",https://www.rts.rs/vesti/politika/5852018/micin-novi-sad-trg-vozic.html,"subota, 20. dec 2025, 12:17 -> 12:34",vezano za proteste,85,sr,[]
86,Odalović: Kurti ne bira sredstva da kampanjom protiv Srba ojača svoju poziciju,https://www.rts.rs/vesti/politika/5851985/odalovic-kurti-ne-bira-sredstva-da-kampanjom-protiv-srba-ojaca-svoju-poziciju.html,"subota, 20. dec 2025, 09:00 -> 10:07",vezano za proteste,86,sr,[]
87,Izbori na KiM 28. decembra  – pokloni iz Brisela i prolećna matematika,https://www.rts.rs/vesti/politika/5851602/izbori-na-kim-28-decembra--pokloni-iz-brisela-i-prolecna-matematika.html,"subota, 20. dec 2025, 08:00 -> 08:24",vezano za proteste,87,sr,[]
